currency_code,a,rate
USD,2094968.86,1
JPY,1819282.87,0.0062
EUR,231658.29,1.0823
MXN,194937.14,0.0554
COP,175000.00,0.0002
HUF,94640.00,0.0027
AUD,91430.12,0.674
GBP,87310.00,1.2815
CNY,63805.35,0.1375
CLP,56156.00,0.0011
SEK,32810.66,0.0948
CAD,29390.19,0.7331
PLN,26843.67,0.2542
ISK,19604.00,0.0073
CZK,15589.30,0.0429
SAR,14836.67,0.2666
DKK,8824.52,0.1451
NOK,8739.39,0.0942
SGD,7865.80,0.7406
TWD,6444.00,0.0307
CHF,4539.34,0.898
MOP,4500.00,0.1242
ILS,2824.86,0.2721
AED,2694.28,0.2723
GTQ,1851.00,0.1289
THB,1136.30,0.0275
QAR,1044.15,0.2742
RON,648.44,0.2175
BRL,631.90,0.1846
NZD,618.99,0.6128
MYR,230.00,0.2124
OMR,30.00,0.385
KWD,20.70,0.3061
