area_code,area_name
AE-UQ-0,أم القيوين
AE-UQ-1,فلج المعلا
AE-SH-0,خور فكان
AE-SH-1,كلباء
AE-SH-2,الذيد
AE-SH-3,اليرموك
AE-SH-7,الشارقة
AE-SH-8,الشهباء
AE-SH-9,سمنان
AE-SH-10,المنطقة الحرة بمطار الشارقة الدولي
AE-SH-13,الرمثاء
AE-SH-15,الرماقية
AE-SH-16,القاسمية
AE-SH-17,الناصرية
AE-SH-4,وادي شي - Wadi Shi
AE-SH-19,النبأ
AE-SH-20,موافجة
AE-SH-5,أم كنور - Umm Kanoor
AE-SH-22,المنصورة
AE-SH-6,شرقان - Sherqan
AE-SH-24,ميسلون
AE-SH-25,ضاحية اللية
AE-SH-28,الجزَات
AE-SH-29,الحمرية
AE-SH-30,الغبيبة
AE-SH-31,الغافية
AE-SH-32,الذيد
AE-SH-33,دسمان
AE-SH-34,بوطينة
AE-SH-37,الرفاعة
AE-SH-38,القاسمية
AE-SH-39,المناخ
AE-SH-40,الخان
AE-SH-41,الحمرية
AE-SH-42,الفلج
AE-SH-11,صعبة - Saabah
AE-SH-44,العزرة
AE-SH-45,أبو شغارة
AE-RK-0,الزهراء
AE-SH-12,رولا - Rolla
AE-SH-14,رملة - Ramlah
AE-RK-4,شعم
AE-RK-6,النخيل
AE-FU-8,مسافي
AE-RK-9,خت
AE-RK-10,الخران
AE-RK-12,شعم
AE-RK-13,الرمس
AE-SH-18,نخيلات - Nakheelat
AE-RK-15,الجزيرة الحمراء
AE-RK-16,الجزيرة الحمراء
AE-RK-17,الحمرانية
AE-RK-18,الحمرانية
AE-RK-19,قرية أذن
AE-FU-0,البدية
AE-FU-2,عبادلة
AE-FU-4,السيجي
AE-FU-5,سكمكم
AE-FU-8,مسافي - Masafi
AE-FU-7,قدفع
AE-FU-8,مسافي
AE-SH-23,مجرة - Majjarah
AE-SH-26,خريان - Kharayan
AE-FU-14,الفجيرة
AE-FU-15,دبا الحصن
AE-SH-27,خنور - Khannur
AE-FU-17,دبا الفجيرة
AE-FU-18,الحيل
AE-DU-0,أبو هيل
AE-DU-2,السطوة
AE-DU-4,الكرامة
AE-DU-5,جميرا
AE-DU-6,جبل علي
AE-DU-7,حتا
AE-DU-8,مدينة دبي للإنترنت
AE-DU-9,دبي
AE-DU-10,ديرة
AE-DU-11,بر دبي
AE-DU-13,القوز
AE-AJ-3,مصفوت
AE-AJ-5,البستان
AE-AJ-6,عجمان
AE-AZ-0,غَنْتُوت
AE-AZ-1,ساس النَّخْل
AE-AJ-0,سويحان
AE-AZ-3,السلع
AE-SH-35,الوسيط - Al Wasit
AE-AZ-5,مصفح
AE-AZ-6,المفرق
AE-AZ-7,حَبْشَان
AE-AZ-8,البطين
AE-AZ-9,مدينة الرويس الصناعية
AE-AZ-10,المرفأ
AE-AZ-11,المَقطَع
AE-AZ-12,المفرق
AE-SH-36,التاوون - Al Tawoon
AE-AZ-15,العين‎
AE-AZ-16,أبو ظبي
AE-AZ-17,أبوظبي
AE-SH-43,الفاهية - Al Fahiya
AE-RK-1,الخشفة - Al Khashfah
AE-RK-2,الحير - Al Hayr
AE-RK-3,الدربانية - Al Dharbaniyah
AE-RK-5,مدينة رأس الخيمة - Ras Al Khaimah city
AE-RK-8,خور خوير - Khawr Khuwayr
AE-RK-11,عوانات - Awanat
AE-RK-14,المنامة - Al Manamah
AE-FU-1,العكامية - Akamiyah
AE-FU-3,طريف كلباء - Tarif Kalba
AE-FU-6,رغيلة - Rughaylat
AE-FU-9,كدفة - Kidfa
AE-FU-10,خور كلباء - Khawr Kalba
AE-FU-11,حسان دبا - Hassan Dibba
AE-FU-12,غرفة - Ghurfah
AE-FU-13,فرفار - Furfar
AE-FU-16,دبة البيعة - Diba Al Bay'a
AE-DU-1,شندغة - Shandaghah
AE-DU-3,ميناء سفوح - Mina Sufooh
AE-DU-12,الرويعية - Al Ruwaiya
AE-AJ-0,صويحان - Sweihan
AE-AJ-1,راشدية - Rashidya
AE-AJ-2,مشرف - Mushrif
AE-AJ-4,جرف - Jarf
AE-AZ-4,ريمة - Rima
AE-AZ-13,الدوس - Al Duss
AE-AZ-14,العردية - Al Ardiyah
