countryName,countryArName,stateName,stateArName,STATE_CODE,cityName,cityArName,CITY_CODE
United Arab Emirates,الإمارات العربية المتحدة,Um Al Quiwan,أمالقيوين,AE-UQ,Um Al Quiwan,أم القيوين,AE-UQ-0
United Arab Emirates,الإمارات العربية المتحدة,Um Al Quiwan,أمالقيوين,AE-UQ,Falaj Al Mulla,فلج المعلا,AE-UQ-1
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Khawr Fakkan,خور فكان,AE-SH-0
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Kalba,كلباء,AE-SH-1
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Al Dhayd,الذيد,AE-SH-2
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Yarmook,اليرموك,AE-SH-3
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Sharjah,الشارقة,AE-SH-7
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Shahba,الشهباء,AE-SH-8
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Samnan,سمنان,AE-SH-9
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Saif,المنطقة الحرة بمطار الشارقة الدولي,AE-SH-10
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Ramtha,الرمثاء,AE-SH-13
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Ramaqiya,الرماقية,AE-SH-15
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Qasimiya,القاسمية,AE-SH-16
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Nasariya,الناصرية,AE-SH-17
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Wadi Shi,وادي شي - Wadi Shi,AE-SH-4
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Nabbah,النبأ,AE-SH-19
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Muwafja,موافجة,AE-SH-20
United Arab Emirates,الإمارات العربية المتحدة,Sharjah,الشارقة,AE-SH,Umm Kanoor,أم كنور - Umm Kanoor,AE-SH-5
