area_code,area_name
SA-MD-0,بئر الروحاء
SA-MD-1,الحار السفلى
SA-MD-2,الشفية
SA-MD-3,الاكحل
SA-MD-4,المفرحات
SA-AJ-0,الرديفة
SA-AJ-1,النبك ابوقصر
SA-AJ-2,الادري
SA-AJ-3,طبرجل
SA-AJ-4,سكاكا
SA-AJ-5,القريات
SA-AJ-6,كارا
SA-AJ-7,الجوف
SA-AJ-8,الحديثة
SA-AJ-9,دومة الجندل
SA-BH-0,الحجرة
SA-BH-1,وادي بن حسبل
SA-BH-2,طريب
SA-BH-3,تندحة
SA-BH-4,سبحيكا
SA-BH-5,المدا
SA-BH-6,مخواه
SA-BH-7,المندق
SA-BH-8,قلوة
SA-BH-9,بلجرشي
SA-BH-10,الباحة
SA-BH-11,الأطاولة
SA-BH-12,العقيق
SA-BH-13,فرعة غامد الزناد
SA-TB-0,املج
SA-TB-1,الوجه
SA-TB-2,تيماء
SA-TB-3,تبوك
SA-TB-4,حقل
SA-TB-5,حالة عمار
SA-TB-6,ضباء
SA-TB-7,البدع
SA-NB-0,حزم الجلاميد
SA-NB-1,طريف
SA-NB-2,رفحاء 
SA-NB-3,عرعر
SA-NJ-0,بدر الجنوب
SA-NJ-1,شرورة
SA-NJ-2,نجران
SA-NJ-3,ثار
SA-NJ-4,يدمة
SA-NJ-5,حبونا
SA-NJ-6,خباش
SA-MK-0,السديرة
SA-MK-1,الجموم
SA-MK-2,عطيف
SA-MK-3,رضوان
SA-MK-4,المحاني
SA-MK-5,عرضيه
SA-MK-6,شميسي
SA-MK-7,محاني 
SA-MK-8,خرمه 
SA-MK-9,نمره
SA-MK-10,طيبة
SA-MK-11,ذهبان
SA-MK-12,ذهبان
SA-MK-13,وادي فاطمة
SA-MK-14,تربة
SA-MK-15,الطوال
SA-MK-16,الطائف
SA-MK-17,الشميسي
SA-MK-18,الشرائع
SA-MK-19,شعيبة
SA-MK-20,رنيا
SA-MK-21,رابغ
SA-MK-22,القنفذة
SA-MK-23,النورية
SA-MK-24,المظيلف
SA-MK-25,مستورة
SA-MK-26,مكة
SA-MK-27,الليث
SA-MK-28,الخرمة
SA-MK-29,خليص
SA-MK-30,الجموم
SA-MK-31,جدة
SA-MK-32,الجعرانة
SA-MK-33,بحرة الموجود
SA-MK-34,بحرة
SA-MK-35,الشوقية
SA-MK-36,عسفان
SA-MK-37,عمق
SA-MK-38,الهدا
SA-MK-39,دغبج
SA-MK-40,ميسان
SA-MK-41,نمره
SA-MK-42,المحاني 
SA-MK-43,كلاخ
SA-MK-44,أبو راكة
SA-MK-45,تربه 
SA-MK-46,المويه 
SA-MK-47,السر
SA-MK-48,اضم 
SA-MK-49,الخرمة
SA-MK-50,الشفا
SA-MK-51,المحاميد
SA-MK-52,الكامل
SA-MK-53,عشيره 
SA-MK-54,حداد بني مالك
SA-MK-55,عشيرة
SA-MK-56,الخوار
SA-MK-57,ام الدوم
SA-MK-58,رنيه
SA-MK-59,قيا 
SA-MK-60,الشرائع
SA-MK-61,الروضه
SA-MK-62,أم الدوم
SA-MK-63,حدة
SA-MK-64,حي حرازات
SA-MK-65,العرفاء 
SA-MK-66,ظلم 
SA-MK-67,بحرة
SA-MK-68,ملكان
SA-MK-69,الجعرانة
SA-MK-70,ولي العهد
SA-MK-71,السر
SA-MK-72,شقصان
SA-MK-73,حي محاميد
SA-GZ-0,العيدابي
SA-GZ-1,ضبية
SA-GZ-2,صامطه
SA-GZ-3,صبيا
SA-GZ-4,الخصاوية
SA-GZ-5,الكربوس
SA-GZ-6,جيزان
SA-GZ-7,فرسان
SA-GZ-8,الدرب
SA-GZ-9,ضمد
SA-GZ-10,بيشة
SA-GZ-11,احد المسارحة
SA-GZ-12,ابو عريش
SA-GZ-13,الريث
SA-GZ-14,العارضة
SA-GZ-15,هروب
SA-GZ-16,الدائر
SA-GZ-17,الحرث
SA-GZ-18,فيفاء
SA-GZ-19,الطوال
SA-HL-0,سميرا
SA-HL-1,الشنانة
SA-HL-2,صدين
SA-HL-3,قفار
SA-HL-4,منيفت القيد
SA-HL-5,موقق
SA-HL-6,الغزالة
SA-HL-7,بقعاء
SA-HL-8,بقعاء الشرقية
SA-HL-9,الشنانه
SA-HL-10,الوسيطاء
SA-HL-11,الأجفر
SA-HL-12,حائل
#N/A,السليمي
SA-HL-14,الشملي
SA-HL-15,الحائط
SA-EA-0,المانعية
SA-EA-1,الدغيمية
SA-EA-2,الرابية
SA-EA-3,العيون
SA-EA-4,نصاب
SA-EA-5,بقيق
SA-EA-6,العيون
SA-EA-7,العضيلية
SA-EA-8,تاروت
SA-EA-9,تناجيب
SA-EA-10,سيهات
SA-EA-11,صرار 
KW-HA-10,سلوى
SA-EA-13,صفوى
SA-EA-14,سفانيه
SA-EA-15,راس تنورة
SA-EA-16,راس الخير
SA-EA-17,رحيمة
SA-EA-18,قيسومه
SA-EA-19,القطيف
SA-EA-20,قرية العليا
SA-EA-21,جبل القارة 
SA-EA-22,العثمانية
SA-EA-23,عجم
SA-EA-24,النعيرية
SA-EA-25,النابية
SA-EA-26,مليجة
SA-EA-27,المبرز
SA-EA-28,الخبر
SA-EA-29,الخفجي
SA-EA-30,الجبيل
SA-EA-31,الجفر
SA-EA-32,الهفوف
SA-EA-33,الحوية
SA-EA-34,حرض
SA-EA-35,حفر الباطن
SA-EA-36,الظهران
SA-EA-37,الدمام
SA-EA-38,البطحاء
SA-EA-39,العوامية
SA-EA-40,عنك
SA-EA-41,الحساء
SA-EA-42,عين دار
SA-EA-43,بقيق
SA-EA-44,الشعبه
SA-EA-45,المطيرفي
SA-EA-46,الحوية
SA-EA-47,المنيزلة
SA-EA-48,جواثا
SA-EA-49,الطرف
SA-EA-50,العمران
SA-EA-51,الفضول
SA-EA-52,عين النخل
SA-EA-53,الوزية
SA-EA-54,الجشة
SA-EA-55,الجوية
SA-EA-56,المنطقة الصناعية بالاحساء
SA-EA-57,الشهارين
SA-EA-58,المركز
SA-EA-59,بني معن
SA-EA-60,الجرن
SA-EA-61,جليجلة
SA-EA-62,الحصيمه
SA-EA-63,ام خريسان
SA-EA-64,ويسة
SA-EA-65,السلطانيـة
SA-EA-66,البطالية
SA-EA-67,الشقيق
SA-AS-0,طريب
SA-AS-1,البرك
SA-AS-2,الواديين
SA-AS-3,تثليث
SA-AS-4,التنومه
SA-AS-5,سراة عبيدة
SA-AS-6,سبت العلايا
SA-AS-7,رجال ألمع
SA-AS-8,النماص
SA-AS-9,محايل عسير
SA-AS-10,المجاردة
SA-AS-11,خميس مشيط
SA-AS-12,كارا
SA-AS-13,الحرجة
SA-AS-14,ظهران الجنوب
SA-AS-15,بيشة
SA-AS-16,بارق
SA-AS-17,بلسمر
SA-AS-18,بلحمر
SA-AS-19,أحد رفيدة
SA-AS-20,ابها
SA-AS-21,تمنية
SA-AS-22,الاثنين
SA-AS-23,آل يزيد
SA-AS-24,روضان السليل
SA-AS-25,ال عرفان
SA-AS-26,الجر
SA-AS-27,المقطاع
SA-AS-28,المضة
SA-AS-29,تندحة
SA-AS-30,الذيبة آل الجحل
SA-AS-31,آل سرحان
SA-AS-32,عضاضة
SA-AS-33,يعرى
SA-AS-34,الفرعاء
SA-AS-35,وادي ابن هشبل
SA-AS-36,الغيناء
SA-AS-37,المسقي
SA-AS-38,خيبر الجنوب
SA-AS-39,رغوة
SA-AR-0,ساجر
SA-AR-1,ثرمدا
SA-AR-2,نفي
SA-AR-3,الزلفي
SA-AR-4,وادي الدواسر
SA-AR-5,أم الجماجم
SA-AR-6,ضرما
SA-AR-7,ثادق
SA-AR-8,السليل
SA-AR-9,الشفاء
SA-AR-10,شقراء
SA-AR-11,صلبوخ
SA-AR-12,الرويضة
SA-AR-13,روضة سدير
SA-AR-14,الرياض
SA-AR-15,رماح
SA-AR-16,القويعية
SA-AR-17,القصب
SA-AR-18,العيينة
SA-AR-19,المزاحمية
SA-AR-20,مرات
SA-AR-21,المجمعة
SA-AR-22,الخرج
SA-AR-23,الخماسين
SA-AR-24,جلاجل
SA-AR-25,حوطة سدير
SA-AR-26,حريملاء
SA-AR-27,حوطة بني تميم
SA-AR-28,الحريق
SA-AR-29,ضرما
SA-AR-30,الدرعية
SA-AR-31,الدوادمي
SA-AR-32,الدلم
SA-AR-33,الأرطاوية
SA-AR-34,الغاط
SA-AR-35,الأفلاج
SA-AR-36,عفيف
SA-AR-37,الرين
SA-AQ-0,صقف
SA-AQ-1,قصيباء
SA-AQ-2,عيون الجوا
SA-AQ-3,كبضه
SA-AQ-4,كحله
SA-AQ-5,ضليع رشيد
SA-AQ-6,الدرعية
SA-AQ-7,الرشاوية 
SA-AQ-8,النبهانيه
SA-AQ-9,المدراج
SA-AQ-10,الخشيبي
SA-AQ-11,الفويلق
SA-AQ-12,البتراء
SA-AQ-13,العمارة
SA-AQ-14,عقلة الصقور
SA-AQ-15,رياض الخبراء
SA-AQ-16,القصيم
SA-AQ-17,عنيزة
SA-AQ-18,مذنب
SA-AQ-19,مذنب
SA-AQ-20,بريدة
SA-AQ-21,البكيرية
SA-AQ-22,البدائع
SA-AQ-23,عين ابن فهيد
SA-AQ-24,الأسياح
SA-AQ-25,الرس
SA-AQ-26,الدليمية
SA-AQ-27,دخنة
SA-AQ-28,القرعاء
SA-AQ-29,الشماسية
SA-AQ-30,الغضا
SA-AQ-31,قبه
SA-MD-5,فرشة الشامي
SA-MD-6,الجرنافة
SA-MD-7,السدارة
SA-MD-8,ابيار الماشي
SA-MD-9,المهد
SA-MD-10,ينبع البحر
SA-MD-11,ينبع
SA-MD-12,العلا
SA-MD-13,مهد الدهب
SA-MD-14,المدينة
SA-MD-15,خيبر
SA-MD-16,الحناكية
SA-MD-17,بدر
SA-MD-18,المسيجيد
SA-MD-19,السدر
SA-MD-20,العشيرة
SA-MD-21,هبت
SA-MD-22,الصفاء
SA-MD-23,وادي الفرع
SA-MD-24,السدة
SA-MD-25,العيص
SA-MD-26,الحار العليا
SA-MD-27,اليتمة
SA-MD-28,الطرقية
