countryName,countryArName,state_en_Name,state_Ar_Name,state_code,city_en_Name,city_Ar_Name,city_code
Saudi Arabia,المملكة العربية السعودية,Al-Madinah Al-Monawarah,المدينة المنورة,SA-MD,Ber Arrawha,بئر الروحاء,SA-MD-0
Saudi Arabia,المملكة العربية السعودية,Al-Madinah Al-Monawarah,المدينة المنورة,SA-MD,Al Har Al Sofla,الحار السفلى,SA-MD-1
Saudi Arabia,المملكة العربية السعودية,Al-Madinah Al-Monawarah,المدينة المنورة,SA-MD,Al Shfeah,الشفية,SA-MD-2
Saudi Arabia,المملكة العربية السعودية,Al-Madinah Al-Monawarah,المدينة المنورة,SA-MD,Al Akhal,الاكحل,SA-MD-3
Saudi Arabia,المملكة العربية السعودية,Al-Madinah Al-Monawarah,المدينة المنورة,SA-MD,Al Mufrihat,المفرحات,SA-MD-4
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Ar Radifah,الرديفة,SA-AJ-0
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,An Nabk Abu Qasr,النبك ابوقصر,SA-AJ-1
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Al Adari,الادري,SA-AJ-2
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Tabrjal,طبرجل,SA-AJ-3
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Sakaka,سكاكا,SA-AJ-4
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Qurayat,القريات,SA-AJ-5
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Kara,كارا,SA-AJ-6
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Jouf,الجوف,SA-AJ-7
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Hadeethah,الحديثة,SA-AJ-8
Saudi Arabia,المملكة العربية السعودية,Al-Jouf {Al Jawf},الجوف,SA-AJ,Domat Al Jandal,دومة الجندل,SA-AJ-9
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Al Hajrah,الحجرة,SA-BH-0
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Wadi Bin Hasbal,وادي بن حسبل,SA-BH-1
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Turaib,طريب,SA-BH-2
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Tanda,تندحة,SA-BH-3
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Subheka,سبحيكا,SA-BH-4
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Al Mada,المدا,SA-BH-5
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Mikhwa,مخواه,SA-BH-6
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Mandak,المندق,SA-BH-7
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Gilwa,قلوة,SA-BH-8
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,BilJurashi,بلجرشي,SA-BH-9
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Baha,الباحة,SA-BH-10
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Atawleh,الأطاولة,SA-BH-11
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Aqiq,العقيق,SA-BH-12
Saudi Arabia,المملكة العربية السعودية,Al-Baha{Al-Bahah},الباحة,SA-BH,Farat Ghamid Az Zinad,فرعة غامد الزناد,SA-BH-13
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Umluj,املج,SA-TB-0
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Wajeh (Al Wajh),الوجه,SA-TB-1
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Tayma,تيماء,SA-TB-2
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Tabuk,تبوك,SA-TB-3
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Haqil,حقل,SA-TB-4
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Halat Ammar,حالة عمار,SA-TB-5
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Duba,ضباء,SA-TB-6
Saudi Arabia,المملكة العربية السعودية,Tabuk,تبوك,SA-TB,Al Bada,البدع,SA-TB-7
Saudi Arabia,المملكة العربية السعودية,Northern Borders {Al-Hududash-Shamaliyah},الحدود الشمالية,SA-NB,Hazm Al Jalamid,حزم الجلاميد,SA-NB-0
Saudi Arabia,المملكة العربية السعودية,Northern Borders {Al-Hududash-Shamaliyah},الحدود الشمالية,SA-NB,Turaif,طريف,SA-NB-1
Saudi Arabia,المملكة العربية السعودية,Northern Borders {Al-Hududash-Shamaliyah},الحدود الشمالية,SA-NB,Rafha,رفحاء ,SA-NB-2
Saudi Arabia,المملكة العربية السعودية,Northern Borders {Al-Hududash-Shamaliyah},الحدود الشمالية,SA-NB,Arar,عرعر,SA-NB-3
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Badr Al Janoub,بدر الجنوب,SA-NJ-0
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Sharourah,شرورة,SA-NJ-1
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Najran,نجران,SA-NJ-2
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Thar,ثار,SA-NJ-3
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Yadamah,يدمة,SA-NJ-4
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Hubuna,حبونا,SA-NJ-5
Saudi Arabia,المملكة العربية السعودية,Najran,نجران,SA-NJ,Khbash,خباش,SA-NJ-6
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,As Sudayrah,السديرة,SA-MK-0
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Jumum,الجموم,SA-MK-1
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Ateef,عطيف,SA-MK-2
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Radwan,رضوان,SA-MK-3
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Al Mahani,المحاني,SA-MK-4
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Alaradiya,عرضيه,SA-MK-5
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Shameesy,شميسي,SA-MK-6
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Mahany,محاني ,SA-MK-7
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Khorma,خرمه ,SA-MK-8
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Nimra,نمره,SA-MK-9
Saudi Arabia,المملكة العربية السعودية,Makkah{Mecca},مكة المكرمة,SA-MK,Taiba,طيبة,SA-MK-10
