area_code,area_name
KW-MU-0,صبحان الصناعية
KW-MU-1,صباح السالم
KW-MU-2,القصور
KW-MU-3,القرين
KW-MU-4,المسيله
KW-MU-5,المسايل
KW-MU-6,فنيطيس
KW-MU-7,العدان
KW-MU-8,أبو الحصانية
KW-MU-9,أبو فطيرة
KW-MU-10,مبارك الكبير
KW-KU-0,الشامية
KW-KU-1,الروضة
KW-KU-2,قرطبة
KW-KU-3,قبلة
KW-KU-4,القادسية
KW-KU-5,شمال غرب الصليبيخات
KW-KU-6,المرقاب
KW-KU-7,المنصورية
KW-KU-8,الخالدية
KW-KU-9,كيفان
KW-KU-10,غرناطة
KW-KU-11,الفيحاء
KW-KU-12,الدوحة
AE-SH-33,دسمان
KW-KU-14,الدسمة
KW-KU-15,الدعية
KW-KU-16,بنيد القار
KW-KU-17,حدائق السور
KW-KU-18,العديلية
KW-KU-19,ضاحية عبدالله السالم
KW-KU-20,اليرموك
KW-KU-21,أم سدة - Um Seddah
KW-KU-22,السرة
KW-KU-23,الصليبيخات
KW-KU-24,ميناء الشويخ
KW-KU-25,الشويخ الصناعية
KW-KU-26,شويخ الصحية
KW-KU-27,شويخ التعليمية
KW-KU-28,ميناء الشويخ
KW-KU-29,شرق
KW-KU-30,Nuzha
KW-KU-31,مدينة الكويت
KW-JA-0,جابر الاحمد
KW-JA-1,الواحة
KW-JA-2,خبرة أم العيش
KW-JA-3,تيماء
KW-JA-4,الصليبية الصناعية
KW-JA-5,الصليبية
KW-JA-6,صبرية - Sabriya
KW-JA-7,سعد العبدالله
KW-JA-8,القيروان
KW-JA-9,القصر
KW-JA-10,النسيم
KW-JA-11,النهضة
KW-JA-12,النعيم
KW-JA-13,الجهراء المنطقة الصناعية قطعه
KW-JA-14,منطقة أمغرة صناعية
KW-JA-15,الجهراء
KW-JA-16,العبدلي
KW-JA-17,العيون
KW-JA-18,كبد
KW-HA-0,الزهراء
KW-HA-1,الصديق
KW-HA-2,الشعب
KW-HA-3,الرميثية
KW-HA-4,ضاحية مبارك العبدالله
KW-HA-5,حولي
KW-HA-6,حطين
KW-HA-7,الشهداء
KW-HA-8,السلام
KW-HA-9,البدع
KW-HA-10,سلوى
KW-HA-11,السالمية
KW-HA-12,مشرف
KW-HA-13,الجابرية
KW-HA-14,بيان
KW-FA-0,صباح الناصر
KW-FA-1,الرحاب
KW-FA-2,الرقعي
KW-FA-3,الري
KW-FA-4,العمرية
KW-FA-5,مطار الكويت الدولي
KW-FA-6,جليب الشيوخ
KW-FA-7,إشبيلية
KW-FA-8,الفردوس
KW-FA-9,الضجيج
KW-FA-10,العارضية الحرفية
KW-FA-11,الأندلس
KW-FA-12,الشدادية
KW-FA-13,الرابية
KW-FA-14,عبدالله المبارك الصباح
KW-FA-15,خيطان
KW-FA-16,الفروانية
KW-FA-17,العارضية
KW-FA-18,أبرق خيطان - Abraq Khaitan
KW-AH-0,الوفرة
KW-AH-1,جنوب الصباحية
KW-AH-2,الشعيبة قطعه
KW-AH-3,صباح الأحمد
KW-AH-4,الرقة
KW-AH-5,النويصيب
KW-AH-6,ميناء عبد الله
KW-AH-7,المنقف
KW-AH-8,الخيران
KW-AH-9,جابر العلي
KW-AH-10,هجيل - Hijil
KW-AH-11,الفنطاس
KW-AH-12,الفحيحيل
KW-AH-13,فهد الأحمد
KW-AH-14,بنيدر
KW-AH-15,عقيلة - Aqeela
KW-AH-16,علي صباح السالم
KW-AH-17,الزور
KW-AH-18,الخيران
KW-AH-19,ميناء عبدالله - Abdulla Port
KW-AH-20,الظهر
KW-AH-21,الصباحية
KW-AH-22,الرقة
KW-AH-23,المهبولة
KW-AH-24,هدية
KW-AH-25,الفحيحيل
KW-AH-26,الأحمدي
KW-AH-27,أبو حليفة
