countryName,countryArName,stateName,stateArName,state_code,cityName,cityArName,city_code
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Sabhan,صبحان الصناعية,KW-MU-0
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Sabah Al Salem,صباح السالم,KW-MU-1
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Qusor,القصور,KW-MU-2
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Qurain,القرين,KW-MU-3
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Messila,المسيله,KW-MU-4
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Masayel,المسايل,KW-MU-5
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Funaitees,فنيطيس,KW-MU-6
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Al Adan,العدان,KW-MU-7
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Abu Hasaniya,أبو الحصانية,KW-MU-8
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Abu Fateera,أبو فطيرة,KW-MU-9
Kuwait,الكويت‎,Mubarak Al Kabeer,مبارك الكبير,KW-MU,Mubarak Al Kabeer,مبارك الكبير,KW-MU-10
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Shamiyah,الشامية,KW-KU-0
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Rawda,الروضة,KW-KU-1
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Qurtuba,قرطبة,KW-KU-2
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Qublah,قبلة,KW-KU-3
Kuwait,الكويت‎,Kuwait City,مدينة الكويت,KW-KU,Qadsiya,القادسية,KW-KU-4
