province,city,link
Australian Capital Territory,Canberra,/zh-hans/region2/canberraaustralian-capital-territory
New South Wales,Alexandria,/zh-hans/region2/alexandrianew-south-wales
New South Wales,Burwood,/zh-hans/region2/burwoodnew-south-wales
New South Wales,Canberra,/zh-hans/region2/canberranew-south-wales
New South Wales,Country West,/zh-hans/region2/country-westnew-south-wales
New South Wales,Far country,/zh-hans/region2/far-countrynew-south-wales
New South Wales,Frenchs Forest,/zh-hans/region2/frenchs-forestnew-south-wales
New South Wales,Gold Coast,/zh-hans/region2/gold-coastnew-south-wales
New South Wales,Gosford,/zh-hans/region2/gosfordnew-south-wales
New South Wales,Hunter,/zh-hans/region2/hunternew-south-wales
New South Wales,Illawarra,/zh-hans/region2/illawarranew-south-wales
New South Wales,Ingleburn,/zh-hans/region2/ingleburnnew-south-wales
New South Wales,Leightonfield,/zh-hans/region2/leightonfieldnew-south-wales
New South Wales,Nepean,/zh-hans/region2/nepeannew-south-wales
New South Wales,North Coast,/zh-hans/region2/north-coastnew-south-wales
New South Wales,Parramatta,/zh-hans/region2/parramattanew-south-wales
New South Wales,Pymble,/zh-hans/region2/pymblenew-south-wales
New South Wales,Seven Hills,/zh-hans/region2/seven-hillsnew-south-wales
New South Wales,St Leonards,/zh-hans/region2/st-leonardsnew-south-wales
New South Wales,Sydney,/zh-hans/region2/sydneynew-south-wales
New South Wales,Waterloo,/zh-hans/region2/waterloonew-south-wales
Northern Territory,City subs,/zh-hans/region2/city-subsnorthern-territory
Northern Territory,Darwin,/zh-hans/region2/darwinnorthern-territory
Queensland,Brisbane Central,/zh-hans/region2/brisbane-centralqueensland
Queensland,Central Queensland,/zh-hans/region2/central-queenslandqueensland
Queensland,Gold Coast,/zh-hans/region2/gold-coastqueensland
Queensland,Heathwood,/zh-hans/region2/heathwoodqueensland
Queensland,Moreton,/zh-hans/region2/moretonqueensland
Queensland,North Queensland,/zh-hans/region2/north-queenslandqueensland
Queensland,Northgate,/zh-hans/region2/northgatequeensland
Queensland,South subs,/zh-hans/region2/south-subsqueensland
Queensland,Sunshine Coast,/zh-hans/region2/sunshine-coastqueensland
Queensland,Toowoomba region,/zh-hans/region2/toowoomba-regionqueensland
Queensland,West subs,/zh-hans/region2/west-subsqueensland
South Australia,City subs,/zh-hans/region2/city-subssouth-australia
South Australia,Far country,/zh-hans/region2/far-countrysouth-australia
South Australia,Subs near,/zh-hans/region2/subs-nearsouth-australia
Tasmania,Tasmania,/zh-hans/region2/tasmaniatasmania
Victoria,Dandenong,/zh-hans/region2/dandenongvictoria
Victoria,Far country,/zh-hans/region2/far-countryvictoria
Victoria,Ferntree Gully,/zh-hans/region2/ferntree-gullyvictoria
Victoria,Footscray,/zh-hans/region2/footscrayvictoria
Victoria,Frankston,/zh-hans/region2/frankstonvictoria
Victoria,Hawthorn,/zh-hans/region2/hawthornvictoria
Victoria,Melbourne City,/zh-hans/region2/melbourne-cityvictoria
Victoria,Melbourne North West,/zh-hans/region2/melbourne-north-westvictoria
Victoria,Moorabbin,/zh-hans/region2/moorabbinvictoria
Victoria,Mulgrave,/zh-hans/region2/mulgravevictoria
Victoria,Preston,/zh-hans/region2/prestonvictoria
Victoria,Ringwood,/zh-hans/region2/ringwoodvictoria
Victoria,Victoria country,/zh-hans/region2/victoria-countryvictoria
Western Australia,City subs,/zh-hans/region2/city-subswestern-australia
Western Australia,Coast,/zh-hans/region2/coastwestern-australia
Western Australia,Great Fields,/zh-hans/region2/great-fieldswestern-australia
Western Australia,Great Southern,/zh-hans/region2/great-southernwestern-australia
Western Australia,North West,/zh-hans/region2/north-westwestern-australia
Western Australia,South Road,/zh-hans/region2/south-roadwestern-australia
