province,province_code,city,city_code,area,area_code
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Albury,AU-ACT-0-0
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Balranald,AU-ACT-0-1
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Belconnen,AU-ACT-0-2
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Berrigan,AU-ACT-0-3
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Bland,AU-ACT-0-4
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Bombala,AU-ACT-0-5
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Boorowa,AU-ACT-0-6
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Canberra Central,AU-ACT-0-7
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Carrathool,AU-ACT-0-8
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Cobar,AU-ACT-0-9
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Conargo,AU-ACT-0-10
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Coolamon,AU-ACT-0-11
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Cooma-Monaro,AU-ACT-0-12
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Cootamundra,AU-ACT-0-13
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Corowa Shire,AU-ACT-0-14
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Deniliquin,AU-ACT-0-15
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Goulburn Mulwaree,AU-ACT-0-16
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Greater Hume Shire,AU-ACT-0-17
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Griffith,AU-ACT-0-18
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Gundagai,AU-ACT-0-19
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Gungahlin,AU-ACT-0-20
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Harden,AU-ACT-0-21
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Hay,AU-ACT-0-22
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Jerilderie,AU-ACT-0-23
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Junee,AU-ACT-0-24
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Lachlan,AU-ACT-0-25
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Leeton,AU-ACT-0-26
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Lockhart,AU-ACT-0-27
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Murray,AU-ACT-0-28
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Murrumbidgee,AU-ACT-0-29
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Narrandera,AU-ACT-0-30
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Palerang,AU-ACT-0-31
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Queanbeyan,AU-ACT-0-32
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Snowy River,AU-ACT-0-33
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Temora,AU-ACT-0-34
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Tuggeranong,AU-ACT-0-35
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Tumbarumba,AU-ACT-0-36
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Tumut Shire,AU-ACT-0-37
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Upper Lachlan Shire,AU-ACT-0-38
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Urana,AU-ACT-0-39
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Wagga Wagga,AU-ACT-0-40
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Wakool,AU-ACT-0-41
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Weddin,AU-ACT-0-42
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Weston Creek,AU-ACT-0-43
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Woden Valley,AU-ACT-0-44
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Yass Valley,AU-ACT-0-45
Australian Capital Territory,AU-ACT,Canberra,AU-ACT-0,Young,AU-ACT-0-46
New South Wales,AU-NSW,Alexandria,AU-NSW-0,Botany Bay,AU-NSW-0-0
New South Wales,AU-NSW,Alexandria,AU-NSW-0,Leichhardt,AU-NSW-0-1
New South Wales,AU-NSW,Alexandria,AU-NSW-0,Marrickville,AU-NSW-0-2
New South Wales,AU-NSW,Alexandria,AU-NSW-0,Randwick,AU-NSW-0-3
New South Wales,AU-NSW,Alexandria,AU-NSW-0,Sydney,AU-NSW-0-4
New South Wales,AU-NSW,Burwood,AU-NSW-1,Bankstown,AU-NSW-1-0
New South Wales,AU-NSW,Burwood,AU-NSW-1,Canterbury,AU-NSW-1-1
New South Wales,AU-NSW,Burwood,AU-NSW-1,Hurstville,AU-NSW-1-2
New South Wales,AU-NSW,Burwood,AU-NSW-1,Kogarah,AU-NSW-1-3
New South Wales,AU-NSW,Burwood,AU-NSW-1,Rockdale,AU-NSW-1-4
New South Wales,AU-NSW,Burwood,AU-NSW-1,Strathfield,AU-NSW-1-5
New South Wales,AU-NSW,Burwood,AU-NSW-1,Unincorporated,AU-NSW-1-6
New South Wales,AU-NSW,Canberra,AU-NSW-2,Albury,AU-NSW-2-0
New South Wales,AU-NSW,Canberra,AU-NSW-2,Balranald,AU-NSW-2-1
New South Wales,AU-NSW,Canberra,AU-NSW-2,Belconnen,AU-NSW-2-2
New South Wales,AU-NSW,Canberra,AU-NSW-2,Berrigan,AU-NSW-2-3
New South Wales,AU-NSW,Canberra,AU-NSW-2,Bland,AU-NSW-2-4
New South Wales,AU-NSW,Canberra,AU-NSW-2,Bombala,AU-NSW-2-5
New South Wales,AU-NSW,Canberra,AU-NSW-2,Boorowa,AU-NSW-2-6
New South Wales,AU-NSW,Canberra,AU-NSW-2,Canberra Central,AU-NSW-2-7
New South Wales,AU-NSW,Canberra,AU-NSW-2,Carrathool,AU-NSW-2-8
New South Wales,AU-NSW,Canberra,AU-NSW-2,Cobar,AU-NSW-2-9
New South Wales,AU-NSW,Canberra,AU-NSW-2,Conargo,AU-NSW-2-10
New South Wales,AU-NSW,Canberra,AU-NSW-2,Coolamon,AU-NSW-2-11
New South Wales,AU-NSW,Canberra,AU-NSW-2,Cooma-Monaro,AU-NSW-2-12
New South Wales,AU-NSW,Canberra,AU-NSW-2,Cootamundra,AU-NSW-2-13
New South Wales,AU-NSW,Canberra,AU-NSW-2,Corowa Shire,AU-NSW-2-14
New South Wales,AU-NSW,Canberra,AU-NSW-2,Deniliquin,AU-NSW-2-15
New South Wales,AU-NSW,Canberra,AU-NSW-2,Goulburn Mulwaree,AU-NSW-2-16
New South Wales,AU-NSW,Canberra,AU-NSW-2,Greater Hume Shire,AU-NSW-2-17
New South Wales,AU-NSW,Canberra,AU-NSW-2,Griffith,AU-NSW-2-18
New South Wales,AU-NSW,Canberra,AU-NSW-2,Gundagai,AU-NSW-2-19
New South Wales,AU-NSW,Canberra,AU-NSW-2,Gungahlin,AU-NSW-2-20
New South Wales,AU-NSW,Canberra,AU-NSW-2,Harden,AU-NSW-2-21
New South Wales,AU-NSW,Canberra,AU-NSW-2,Hay,AU-NSW-2-22
New South Wales,AU-NSW,Canberra,AU-NSW-2,Jerilderie,AU-NSW-2-23
New South Wales,AU-NSW,Canberra,AU-NSW-2,Junee,AU-NSW-2-24
New South Wales,AU-NSW,Canberra,AU-NSW-2,Lachlan,AU-NSW-2-25
New South Wales,AU-NSW,Canberra,AU-NSW-2,Leeton,AU-NSW-2-26
New South Wales,AU-NSW,Canberra,AU-NSW-2,Lockhart,AU-NSW-2-27
New South Wales,AU-NSW,Canberra,AU-NSW-2,Murray,AU-NSW-2-28
New South Wales,AU-NSW,Canberra,AU-NSW-2,Murrumbidgee,AU-NSW-2-29
New South Wales,AU-NSW,Canberra,AU-NSW-2,Narrandera,AU-NSW-2-30
New South Wales,AU-NSW,Canberra,AU-NSW-2,Palerang,AU-NSW-2-31
New South Wales,AU-NSW,Canberra,AU-NSW-2,Queanbeyan,AU-NSW-2-32
New South Wales,AU-NSW,Canberra,AU-NSW-2,Snowy River,AU-NSW-2-33
New South Wales,AU-NSW,Canberra,AU-NSW-2,Temora,AU-NSW-2-34
New South Wales,AU-NSW,Canberra,AU-NSW-2,Tuggeranong,AU-NSW-2-35
New South Wales,AU-NSW,Canberra,AU-NSW-2,Tumbarumba,AU-NSW-2-36
New South Wales,AU-NSW,Canberra,AU-NSW-2,Tumut Shire,AU-NSW-2-37
New South Wales,AU-NSW,Canberra,AU-NSW-2,Upper Lachlan Shire,AU-NSW-2-38
New South Wales,AU-NSW,Canberra,AU-NSW-2,Urana,AU-NSW-2-39
New South Wales,AU-NSW,Canberra,AU-NSW-2,Wagga Wagga,AU-NSW-2-40
New South Wales,AU-NSW,Canberra,AU-NSW-2,Wakool,AU-NSW-2-41
New South Wales,AU-NSW,Canberra,AU-NSW-2,Weddin,AU-NSW-2-42
