province,province_code,city,city_code,area,area_code
Acre,BR-AC,Rio Branco,BR-AC-0,Abrahao Alab,BR-AC-0-0
Acre,BR-AC,Rio Branco,BR-AC-0,Adalberto Aragao,BR-AC-0-1
Acre,BR-AC,Rio Branco,BR-AC-0,Aeroporto Velho,BR-AC-0-2
Acre,BR-AC,Rio Branco,BR-AC-0,Alegria,BR-AC-0-3
Acre,BR-AC,Rio Branco,BR-AC-0,Areal,BR-AC-0-4
Acre,BR-AC,Rio Branco,BR-AC-0,Aviario,BR-AC-0-5
Acre,BR-AC,Rio Branco,BR-AC-0,Bahia,BR-AC-0-6
Acre,BR-AC,Rio Branco,BR-AC-0,Bahia Nova,BR-AC-0-7
Acre,BR-AC,Rio Branco,BR-AC-0,Baixa da Colina,BR-AC-0-8
Acre,BR-AC,Rio Branco,BR-AC-0,Base,BR-AC-0-9
Acre,BR-AC,Rio Branco,BR-AC-0,Bosque,BR-AC-0-10
Acre,BR-AC,Rio Branco,BR-AC-0,Cadeia Nova,BR-AC-0-11
Acre,BR-AC,Rio Branco,BR-AC-0,Cadeia Velha,BR-AC-0-12
Acre,BR-AC,Rio Branco,BR-AC-0,Capoeira,BR-AC-0-13
Acre,BR-AC,Rio Branco,BR-AC-0,Centro,BR-AC-0-14
Acre,BR-AC,Rio Branco,BR-AC-0,Ceramica,BR-AC-0-15
Acre,BR-AC,Rio Branco,BR-AC-0,Chacara Ipe,BR-AC-0-16
Acre,BR-AC,Rio Branco,BR-AC-0,Conquista,BR-AC-0-17
Acre,BR-AC,Rio Branco,BR-AC-0,Corrente,BR-AC-0-18
Acre,BR-AC,Rio Branco,BR-AC-0,Distrito Industrial,BR-AC-0-19
Acre,BR-AC,Rio Branco,BR-AC-0,Esperanca,BR-AC-0-20
Acre,BR-AC,Rio Branco,BR-AC-0,Estacao Experimental,BR-AC-0-21
Acre,BR-AC,Rio Branco,BR-AC-0,Floresta,BR-AC-0-22
Acre,BR-AC,Rio Branco,BR-AC-0,Ipase,BR-AC-0-23
Acre,BR-AC,Rio Branco,BR-AC-0,Ivete Vargas,BR-AC-0-24
Acre,BR-AC,Rio Branco,BR-AC-0,Izaura Parente,BR-AC-0-25
Acre,BR-AC,Rio Branco,BR-AC-0,Jardim de Alah,BR-AC-0-26
Acre,BR-AC,Rio Branco,BR-AC-0,Jardim Europa,BR-AC-0-27
Acre,BR-AC,Rio Branco,BR-AC-0,Jose Augusto,BR-AC-0-28
Acre,BR-AC,Rio Branco,BR-AC-0,Jose Eduardo,BR-AC-0-29
Acre,BR-AC,Rio Branco,BR-AC-0,Manoel Juliao,BR-AC-0-30
Acre,BR-AC,Rio Branco,BR-AC-0,Mascarenhas de Moraes,BR-AC-0-31
Acre,BR-AC,Rio Branco,BR-AC-0,Morada do Sol,BR-AC-0-32
Acre,BR-AC,Rio Branco,BR-AC-0,Nova Estacao,BR-AC-0-33
Acre,BR-AC,Rio Branco,BR-AC-0,Novo Horizonte,BR-AC-0-34
Acre,BR-AC,Rio Branco,BR-AC-0,Palheiral,BR-AC-0-35
Acre,BR-AC,Rio Branco,BR-AC-0,Papouco,BR-AC-0-36
Acre,BR-AC,Rio Branco,BR-AC-0,Placas,BR-AC-0-37
Acre,BR-AC,Rio Branco,BR-AC-0,Placido de Castro,BR-AC-0-38
Acre,BR-AC,Rio Branco,BR-AC-0,Preventorio,BR-AC-0-39
Acre,BR-AC,Rio Branco,BR-AC-0,Primavera,BR-AC-0-40
Acre,BR-AC,Rio Branco,BR-AC-0,Quinze,BR-AC-0-41
Acre,BR-AC,Rio Branco,BR-AC-0,Santa Quiteria,BR-AC-0-42
Acre,BR-AC,Rio Branco,BR-AC-0,Sao Francisco,BR-AC-0-43
Acre,BR-AC,Rio Branco,BR-AC-0,Seis de Agosto,BR-AC-0-44
Acre,BR-AC,Rio Branco,BR-AC-0,Sobral,BR-AC-0-45
Acre,BR-AC,Rio Branco,BR-AC-0,Tancredo Neves,BR-AC-0-46
Acre,BR-AC,Rio Branco,BR-AC-0,Taquari,BR-AC-0-47
Acre,BR-AC,Rio Branco,BR-AC-0,Terminal Cadeia Velha,BR-AC-0-48
Acre,BR-AC,Rio Branco,BR-AC-0,Triangulo,BR-AC-0-49
Acre,BR-AC,Rio Branco,BR-AC-0,Tropical,BR-AC-0-50
Acre,BR-AC,Rio Branco,BR-AC-0,Vila Acre,BR-AC-0-51
Acre,BR-AC,Rio Branco,BR-AC-0,Vila Ivonete,BR-AC-0-52
Alagoas,BR-AL,Arapiraca,BR-AL-0,Alto do Cruzeiro,BR-AL-0-0
Alagoas,BR-AL,Arapiraca,BR-AL-0,Baixa Grande,BR-AL-0-1
Alagoas,BR-AL,Arapiraca,BR-AL-0,Baixao,BR-AL-0-2
Alagoas,BR-AL,Arapiraca,BR-AL-0,Boa Vista,BR-AL-0-3
Alagoas,BR-AL,Arapiraca,BR-AL-0,Brasilia,BR-AL-0-4
Alagoas,BR-AL,Arapiraca,BR-AL-0,Brasiliana,BR-AL-0-5
Alagoas,BR-AL,Arapiraca,BR-AL-0,Cacimbas,BR-AL-0-6
Alagoas,BR-AL,Arapiraca,BR-AL-0,Caititus,BR-AL-0-7
Alagoas,BR-AL,Arapiraca,BR-AL-0,Canafistula,BR-AL-0-8
Alagoas,BR-AL,Arapiraca,BR-AL-0,Capiata,BR-AL-0-9
Alagoas,BR-AL,Arapiraca,BR-AL-0,Cavaco,BR-AL-0-10
Alagoas,BR-AL,Arapiraca,BR-AL-0,Centro,BR-AL-0-11
Alagoas,BR-AL,Arapiraca,BR-AL-0,Eldorado,BR-AL-0-12
Alagoas,BR-AL,Arapiraca,BR-AL-0,Guaribas,BR-AL-0-13
Alagoas,BR-AL,Arapiraca,BR-AL-0,Itapoa,BR-AL-0-14
Alagoas,BR-AL,Arapiraca,BR-AL-0,Jardim Esperanca,BR-AL-0-15
Alagoas,BR-AL,Arapiraca,BR-AL-0,Jardim Tropical,BR-AL-0-16
Alagoas,BR-AL,Arapiraca,BR-AL-0,Manoel Teles,BR-AL-0-17
Alagoas,BR-AL,Arapiraca,BR-AL-0,Nova Esperanca,BR-AL-0-18
Alagoas,BR-AL,Arapiraca,BR-AL-0,Novo Horizonte,BR-AL-0-19
Alagoas,BR-AL,Arapiraca,BR-AL-0,Olho D'agua dos Cazuzinhos,BR-AL-0-20
Alagoas,BR-AL,Arapiraca,BR-AL-0,Ouro Preto,BR-AL-0-21
Alagoas,BR-AL,Arapiraca,BR-AL-0,Planalto,BR-AL-0-22
Alagoas,BR-AL,Arapiraca,BR-AL-0,Poco Frio,BR-AL-0-23
Alagoas,BR-AL,Arapiraca,BR-AL-0,Primavera,BR-AL-0-24
Alagoas,BR-AL,Arapiraca,BR-AL-0,Rosa Cruz,BR-AL-0-25
Alagoas,BR-AL,Arapiraca,BR-AL-0,Santa Esmeralda,BR-AL-0-26
Alagoas,BR-AL,Arapiraca,BR-AL-0,Sao Luiz,BR-AL-0-27
Alagoas,BR-AL,Arapiraca,BR-AL-0,Senador Arnon de Melo,BR-AL-0-28
Alagoas,BR-AL,Arapiraca,BR-AL-0,Senador Teotonio Vilela,BR-AL-0-29
Alagoas,BR-AL,Arapiraca,BR-AL-0,Verdes Campos,BR-AL-0-30
Alagoas,BR-AL,Maceio,BR-AL-1,Alberto Santos Dumont,BR-AL-1-0
Alagoas,BR-AL,Maceio,BR-AL-1,Barro Duro,BR-AL-1-1
Alagoas,BR-AL,Maceio,BR-AL-1,Bebedouro,BR-AL-1-2
Alagoas,BR-AL,Maceio,BR-AL-1,Bela Vista,BR-AL-1-3
Alagoas,BR-AL,Maceio,BR-AL-1,Bom Parto,BR-AL-1-4
Alagoas,BR-AL,Maceio,BR-AL-1,Canaa,BR-AL-1-5
Alagoas,BR-AL,Maceio,BR-AL-1,Centro,BR-AL-1-6
Alagoas,BR-AL,Maceio,BR-AL-1,Cha da Jaqueira,BR-AL-1-7
Alagoas,BR-AL,Maceio,BR-AL-1,Cruz das Almas,BR-AL-1-8
Alagoas,BR-AL,Maceio,BR-AL-1,Farol,BR-AL-1-9
Alagoas,BR-AL,Maceio,BR-AL-1,Feitosa,BR-AL-1-10
Alagoas,BR-AL,Maceio,BR-AL-1,Fernao Velho,BR-AL-1-11
Alagoas,BR-AL,Maceio,BR-AL-1,Floriano Peixoto,BR-AL-1-12
Alagoas,BR-AL,Maceio,BR-AL-1,Gruta de Lourdes,BR-AL-1-13
Alagoas,BR-AL,Maceio,BR-AL-1,Jacarecica,BR-AL-1-14
Alagoas,BR-AL,Maceio,BR-AL-1,Jacintinho,BR-AL-1-15
Alagoas,BR-AL,Maceio,BR-AL-1,Jaragua,BR-AL-1-16
Alagoas,BR-AL,Maceio,BR-AL-1,Jatiuca,BR-AL-1-17
Alagoas,BR-AL,Maceio,BR-AL-1,Levada,BR-AL-1-18
Alagoas,BR-AL,Maceio,BR-AL-1,Mangabeiras,BR-AL-1-19
Alagoas,BR-AL,Maceio,BR-AL-1,Mutange,BR-AL-1-20
Alagoas,BR-AL,Maceio,BR-AL-1,Ouro Preto,BR-AL-1-21
Alagoas,BR-AL,Maceio,BR-AL-1,Pajucara,BR-AL-1-22
Alagoas,BR-AL,Maceio,BR-AL-1,Pinheiro,BR-AL-1-23
Alagoas,BR-AL,Maceio,BR-AL-1,Pitanguinha,BR-AL-1-24
Alagoas,BR-AL,Maceio,BR-AL-1,Poco,BR-AL-1-25
Alagoas,BR-AL,Maceio,BR-AL-1,Ponta da Terra,BR-AL-1-26
Alagoas,BR-AL,Maceio,BR-AL-1,Ponta Grossa,BR-AL-1-27
Alagoas,BR-AL,Maceio,BR-AL-1,Ponta Verde,BR-AL-1-28
Alagoas,BR-AL,Maceio,BR-AL-1,Pontal da Barra,BR-AL-1-29
Alagoas,BR-AL,Maceio,BR-AL-1,Prado,BR-AL-1-30
Alagoas,BR-AL,Maceio,BR-AL-1,Riacho Doce,BR-AL-1-31
Alagoas,BR-AL,Maceio,BR-AL-1,Rio Novo,BR-AL-1-32
Alagoas,BR-AL,Maceio,BR-AL-1,Saude,BR-AL-1-33
Alagoas,BR-AL,Maceio,BR-AL-1,Serraria,BR-AL-1-34
Alagoas,BR-AL,Maceio,BR-AL-1,Tabuleiro dos Martins,BR-AL-1-35
Alagoas,BR-AL,Maceio,BR-AL-1,Trapiche da Barra,BR-AL-1-36
Alagoas,BR-AL,Maceio,BR-AL-1,Vergel do Lago,BR-AL-1-37
