AF-BDS,Badachschan
AF-BDG,Badghis
AF-BGL,Baglan
AF-BAL,Balch
AF-BAM,Bamiyan
AF-DAY,Daikondi
AF-FRA,Farah
AF-FYB,Faryab
AF-GHA,Ghazni
AF-GHO,Ghor
AF-HEL,Helmand
AF-HER,Herat
AF-JOW,Dschuzdschan
AF-KAB,Kabul
AF-KAN,Kandahar
AF-KAP,Kapisa
AF-KHO,Chost
AF-KNR,Kunar
AF-KDZ,Kundus
AF-LAG,Laghman
AF-LOG,Lugar
AF-NAN,Nangarhar
AF-NIM,Nimrus
AF-NUR,Nuristan
AF-PAN,Pandschschir
AF-PIA,Paktia
AF-PKA,Paktika
AF-PAR,Parwan
AF-SAM,Samangan
AF-SAR,Sar-i Pul
AF-TAK,Tachar
AF-URU,Uruzgan
AF-WAR,Wardak
AF-ZAB,Zabul
