AF-BDS,Badakhchan
AF-BDG,Bâdghîs
AF-BGL,Baghlân
AF-BAL,Balkh
AF-BAM,Bâmiyân
AF-DAY,Deykandi
AF-FRA,Farâh
AF-FYB,Fâryâb
AF-GHA,Ghazni
AF-GHO,Ghôr
AF-HEL,Helmand
AF-HER,Hérât
AF-JOW,Djôzdjân
AF-KAB,Kaboul
AF-KAN,Kandahâr
AF-KAP,Kâpîssâ
AF-KHO,Khôst
AF-KNR,Kounar
AF-KDZ,Kondôz
AF-LAG,Laghmân
AF-LOW,Lôgar
AF-NAN,Nangarhâr
AF-NIM,Nimrôz
AF-NUR,Nourestân
AF-ORU,Orozgân
AF-PAN,Pandjchir
AF-PIA,Paktiyâ
AF-PKA,Paktîkâ
AF-PAR,Parwân
AF-SAM,Samangân
AF-SAR,Sar-é Pol
AF-TAK,Takhâr
AF-WAR,Wardak
AF-ZAB,Zabol
