"AF-BDS",バダフシャーン州
"AF-BDG",バードギース州
"AF-BGL",バグラーン州
"AF-BAL",バルフ州
"AF-BAM",バーミヤーン州
"AF-DAY",ダーイクンディー州
"AF-FRA",ファラー州
"AF-FYB",ファーリヤーブ州
"AF-GHA",ガズニー州
"AF-GHO",ゴール州
"AF-HEL",ヘルマンド州
"AF-HER",ヘラート州
"AF-JOW",ジョウズジャーン州
"AF-KAB",カーブル州
"AF-KAN",カンダハール州
"AF-KAP",カーピーサー州
"AF-KHO",ホースト州
"AF-KNR",クナル州
"AF-KDZ",クンドゥーズ州
"AF-LAG",ラグマーン州
"AF-LOG",ローガル州
"AF-NAN",ナンガルハール州
"AF-NIM",ニームルーズ州
"AF-NUR",ヌーリスターン州
"AF-PKA",パクティーカー州
"AF-PIA",パクティヤー州
"AF-PAN",パンジシール州
"AF-PAR",パルヴァーン州
"AF-SAM",サマンガーン州
"AF-SAR",サーレポル州
"AF-TAK",タハール州
"AF-URU",ウルーズガーン州
"AF-WAR",ヴァルダク州
"AF-ZAB",ザーブル州
