"AF-BDS",Badakhshan
"AF-BDG",Bādghīs
"AF-BGL",Baghlān
"AF-BAL",Balkh
"AF-BAM",Bāmīān
"AF-DAY",Dāykondī
"AF-FRA",Farāh
"AF-FYB",Fāryāb
"AF-GHA",Ghaznī
"AF-GHO",Ghowr
"AF-HEL",Helmand
"AF-HER",Herāt
"AF-JOW",Jowzjān
"AF-KAB",Kābul
"AF-KAN",Candaar
"AF-KAP",Kāpīsā
"AF-KHO",Khowst
"AF-KNR",Konar
"AF-KDZ",Kondoz
"AF-LAG",Laghmān
"AF-LOW",Lowgar
"AF-NAN",Nangrahār
"AF-NIM",Nīmrūz
"AF-NUR",Nūrestān
"AF-ORU",Orūzgān
"AF-PAN",Panjshīr
"AF-PIA",Paktīā
"AF-PKA",Paktīkā
"AF-PAR",Parwān
"AF-SAM",Samangān
"AF-SAR",Sar-e Pol
"AF-TAK",Takhār
"AF-WAR",Wardak
"AF-ZAB",Zābol
