AF-BDS,Бадахшан
AF-BDG,Бадгис
AF-BGL,Баглан
AF-BAL,Балх
AF-BAM,Бамиан
AF-DAY,Дайкунди
AF-FRA,Фарах
AF-FYB,Фарьяб
AF-GHA,Газни
AF-GHO,Гор
AF-HEL,Гильменд
AF-HER,Герат
AF-JOW,Джаузджан
AF-KAB,Кабул
AF-KAN,Кандагар
AF-KAP,Каписа
AF-KHO,Хост
AF-KNR,Кунар
AF-KDZ,Кундуз
AF-LAG,Лагман
AF-LOG,Логар
AF-NAN,Нангархар
AF-NIM,Нимроз
AF-NUR,Нуристан
AF-URU,Урузган
AF-PAN,Панджшер
AF-PIA,Пактия
AF-PKA,Пактика
AF-ZAB,Забуль
AF-PAR,Парван
AF-SAM,Саманган
AF-SAR,Сари-Пуль
AF-TAK,Тахар
AF-WAR,Вардак
