code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
AR-C,Ciudad Autónoma de Buenos Aires,布宜诺斯艾利斯自治市,布宜诺斯艾利斯自治市,Buenos Aires Distrito Federal,Stadt Buenos Aires,Буэнос-Айрес,Cidade de Buenos Aires,Ciudad Autónoma de Buenos Aires,부에노스아이레스,ブエノスアイレス特別区,
AR-U,Chubut,丘布特省,丘布特省,Chubut,Chubut,Чубут,Chubut,Chubut,추부트주,チュブ州,
AR-E,Entre Ríos,恩特雷里奥斯省,恩特雷里奥斯省,Entre Rios,Entre Ríos,Энтре-Риос,Entre Ríos,Entre Ríos,엔트레리오스주,エントレ・リオス州,
AR-P,Formosa,福尔摩沙省,福尔摩沙省,Formosa,Formosa,Формоса,Formosa,Formosa,포르모사주,フォルモサ州,
AR-M,Mendoza,门多萨省,门多萨省,Mendoza,Mendoza,Мендоса,Mendoza,Mendoza,멘도사주,メンドーサ州,
AR-V,Tierra del Fuego,火地岛省,火地岛省,"Terre de Feu, Antarctique et Îles de l'Atlantique Sud",Tierra del Fuego,Огненная Земля,Terra do Fogo,Tierra del Fuego,티에라델푸에고주,ティエラ・デル・フエゴ州,
AR-T,Tucumán,图库曼省,图库曼省,Tucumán,Tucumán,Тукуман,Tucumã,Tucumán,투쿠만주,トゥクマン州,
AR-H,Chaco,查科省,查科省,Chaco,Chaco,Чако,Chaco,Chaco,차코주,チャコ州,
AR-L,La Pampa,拉潘帕省,拉潘帕省,La Pampa,La Pampa,Ла-Пампа,La Pampa,La Pampa,라팜파주,ラ・パンパ州,
AR-R,Río Negro,内格罗河省,内格罗河省,Rio Negro,Río Negro,Рио-Негро,Rio Negro,Río Negro,리오네그로주,リオネグロ州,
AR-J,San Juan,圣胡安省,圣胡安省,San Juan,San Juan,Сан-Хуан,San Juan,San Juan,산후안주,サンフアン州,
AR-S,Santa Fe,圣菲省,圣菲省,Santa Fe,Santa Fe,Санта-Фе,Santa Fé,Santa Fe,산타페주,サンタフェ州,
AR-G,Santiago del Estero,圣地亚哥-德尔埃斯特罗省,圣地亚哥-德尔埃斯特罗省,Santiago del Estero,Santiago del Estero,Сантьяго-дель-Эстеро,Santiago del Estero,Santiago del Estero,산티아고델에스테로주,サンティアゴ・デル・エステロ州,
AR-Z,Santa Cruz,圣克鲁斯省,圣克鲁斯省,Santa Cruz,Santa Cruz,Санта-Крус,Santa Cruz,Santa Cruz,산타크루스주,サンタクルス州,
AR-K,Catamarca,卡塔马卡省,卡塔马卡省,Catamarca,Catamarca,Катамарка,Catamarca,Catamarca,카타마르카주,カタマルカ州,
AR-X,Córdoba,科尔多瓦省,科尔多瓦省,Cordoba,Córdoba,Кордова,Córdova,Córdoba,코르도바주,コルドバ州,
AR-F,La Rioja,拉里奥哈省,拉里奥哈省,La Rioja,La Rioja,Ла-Риоха,La Rioja,La Rioja,라리오하주,ラ・リオハ州,
AR-N,Misiones,米西奧內斯省,米西奧內斯省,Misiones,Misiones,Мисьонес,Misiones,Misiones,미시오네스주,ミシオネス州,
AR-A,Salta,萨尔塔省,萨尔塔省,Salta,Salta,Сальта,Salta,Salta,살타주,サルタ州,
AR-D,San Luis,圣路易斯省,圣路易斯省,San Luis,San Luis,Сан-Луис,San Luis,San Luis,산루이스주,サンルイス州,
AR-B,Buenos Aires,布宜诺斯艾利斯省,布宜诺斯艾利斯省,Buenos Aires,Provinz Buenos Aires,Буэнос-Айрес,Buenos Aires,Provincia de Buenos Aires,부에노스아이레스주,ブエノスアイレス州,
AR-W,Corrientes,科连特斯省,科连特斯省,Corrientes,Corrientes,Корриентес,Corrientes,Corrientes,코리엔테스주,コリエンテス州,
AR-Y,Jujuy,胡胡伊省,胡胡伊省,Jujuy,Jujuy,Жужуй,Jujuy,Jujuy,후후이주,フフイ州,
AR-Q,Neuquén,内乌肯省,内乌肯省,Neuquén,Neuquén,Неукен,Neuquén,Neuquén,네우켄주,ネウケン州,
