Code,en,de
"AR-C",Ciudad Autónoma de Bu,Stadt Buenos Aires Stadt Buenos Aires
"AR-B",Buenos Aires,Provinz Buenos Aires Provinz Buenos Aires
"AR-K",Catamarca,Catamarca Catamarca
"AR-H",Chaco,Chaco Chaco
"AR-U",Chubut,Chubut Chubut
"AR-X",Córdoba,Cordoba Córdoba
"AR-W",Corrientes,Corrientes Corrientes
"AR-E",Entre Ríos,Entre Ríos Entre Ríos
"AR-P",Formosa,Formosa Formosa
"AR-Y",Jujuy,Jujuy Jujuy
"AR-L",La Pampa,La Pampa La Pampa
"AR-F",La Rioja,La Rioja La Rioja
"AR-M",Mendoza,Mendoza Mendoza
"AR-N",Misiones,Misiones Misiones
"AR-Q",Neuquén,Neuquen Neuquén
"AR-R",Río Negro,Río Negro Río Negro
"AR-A",Salta,Salta Salta
"AR-J",San Juan,San Juan San Juan
"AR-D",San Luis,San Luis San Luis
"AR-Z",Santa Cruz,Santa Cruz Santa Cruz
"AR-S",Santa Fe,Santa Fe Santa Fe
"AR-G",Santiago del Estero,Santiago del Estero Santiago del Estero
"AR-V",Tierra del Fuego,Tierra del Fuego Tierra del Fuego
"AR-T",Tucumán,Tucuman Tucumán
