Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
BR-AC,Acre,阿克雷州,阿克雷州,Acre,Acre (Bundesstaat),Акри,Acre,Acre,,アクレ州,
BR-AM,Amazonas,亞馬遜州,亞馬遜州,Amazonas,Amazonas (Brasilien),Амазонас,Amazonas,Amazonas,,アマゾナス州,
BR-GO,Goiás,戈亞斯州,戈亞斯州,Goiás,Goiás,Гояс,Goiás,Goiás,,ゴイアス州,
BR-MG,Minas Gerais,米納斯吉拉斯州,米納斯吉拉斯州,Minas Gerais,Minas Gerais,Минас-Жерайс,Minas Gerais,Minas Gerais,,ミナスジェライス州,
BR-PB,Paraíba,帕拉伊巴州,帕拉伊巴州,Paraíba,Paraíba,Параиба,Paraíba,Paraíba,,パライバ州,
BR-RJ,Rio de Janeiro,里約熱內盧州,里約熱內盧州,Rio de Janeiro,Rio de Janeiro (Bundesstaat),Рио-де-Жанейро,Rio de Janeiro,Río de Janeiro,,リオデジャネイロ州,
BR-MS,Mato Grosso do Sul,南馬托格羅索州,南馬托格羅索州,Mato Grosso do Sul,Mato Grosso do Sul,Мату-Гросу-ду-Сул,Mato Grosso do Sul,Mato Grosso do Sul,,マットグロッソ・ド・スル州,
BR-PR,Paraná,巴拉那州,巴拉那州,Paraná,Paraná,Парана,Paraná,Paraná,,パラナ州,
BR-MT,Mato Grosso,馬托格羅索州,馬托格羅索州,Mato Grosso,Mato Grosso,Мату-Гросу,Mato Grosso,Mato Grosso,,マットグロッソ州,
BR-PA,Pará,帕拉州,帕拉州,Pará,Pará,Пара,Pará,Pará,,パラー州,
BR-ES,Espírito Santo,聖埃斯皮里圖州,聖埃斯皮里圖州,Espírito Santo,Espírito Santo,Эспириту-Санту,Espírito Santo,Espírito Santo,,エスピリトサント州,
BR-SC,Santa Catarina,聖卡塔琳娜州,聖卡塔琳娜州,Santa Catarina,Santa Catarina,Санта-Катарина,Santa Catarina,Santa Catarina,,サンタカタリーナ州,
BR-CE,Ceará,塞阿拉州,塞阿拉州,Ceará,Ceará,Сеара,Ceará,Ceará,,セアラー州,
BR-DF,Distrito Federal,聯邦區,聯邦區,,Distrito Federal do Brasil,Федеральный округ (Бразилия),Distrito Federal,Distrito Federal,,連邦直轄区,
BR-MA,Maranhão,馬拉尼昂州,馬拉尼昂州,Maranhão,Maranhão,Мараньян,Maranhão,Maranhão,,マラニョン州,
BR-RO,Rondônia,朗多尼亞州,朗多尼亞州,Rondônia,Rondônia,Рондония,Rondônia,Rondônia,,ロンドニア州,
BR-RS,Rio Grande do Sul,南里奧格蘭德州,南里奧格蘭德州,Rio Grande do Sul,Rio Grande do Sul,Риу-Гранди-ду-Сул,Rio Grande do Sul,Rio Grande do Sul,,リオグランデ・ド・スル州,
BR-SE,Sergipe,塞爾希培州,塞爾希培州,Sergipe,Sergipe,Сержипи,Sergipe,Sergipe,,セルジペ州,
BR-AL,Alagoas,阿拉戈斯州,阿拉戈斯州,Alagoas,Alagoas,Алагоас,Alagoas,Alagoas,,アラゴアス州,
BR-BA,Bahia,巴伊亞州,巴伊亞州,Bahia,Bahia,Баия,Bahia,Bahia,,バイーア州,
BR-RN,Rio Grande do Norte,北里約格朗德州,北里約格朗德州,Rio Grande do Norte,Rio Grande do Norte,Риу-Гранди-ду-Норти,Rio Grande do Norte,Rio Grande do Norte,,リオグランデ・ド・ノルテ州,
BR-RR,Roraima,羅賴馬州,羅賴馬州,Roraima,Roraima,Рорайма,Roraima,Roraima,,ロライマ州,
BR-AP,Amapá,阿馬帕州,阿馬帕州,Amapá,Amapá,Амапа,Amapá,Amapá,,アマパー州,
BR-PI,Piauí,皮奧伊州,皮奧伊州,Piauí,Piauí,Пиауи,Piauí,Piauí,,ピアウイ州,
BR-TO,Tocantins,托坎廷斯州,托坎廷斯州,Tocantins,Tocantins,Токантинс,Tocantins,Tocantins,,トカンティンス州,
BR-PE,Pernambuco,伯南布哥州,伯南布哥州,Pernambouc,Pernambuco,Пернамбуку,Pernambuco,Pernambuco,,ペルナンブーコ州,
BR-SP,São Paulo,聖保羅州,聖保羅州,São Paulo,São Paulo (Bundesstaat),Сан-Паулу,São Paulo,São Paulo,,サンパウロ州,
