"BR-AC
"," アクレ州
"
"BR-AL
"," アラゴアス州
"
"BR-AP
"," アマパー州
"
"BR-AM
"," アマゾナス州
"
"BR-BA
"," バイーア州
"
"BR-CE
"," セアラー州
"
"BR-DF
"," 連邦直轄区
"
"BR-ES
"," エスピリトサント州
"
"BR-GO
"," ゴイアス州
"
"BR-MA
"," マラニョン州
"
"BR-MT
"," マットグロッソ州
"
"BR-MS
"," マットグロッソ・ド・スル州
"
"BR-MG
"," ミナスジェライス州
"
"BR-PR
"," パラナ州
"
"BR-PB
"," パライバ州
"
"BR-PA
"," パラー州
"
"BR-PE
"," ペルナンブーコ州
"
"BR-PI
"," ピアウイ州
"
"BR-RN
"," リオグランデ・ド・ノルテ州
"
"BR-RS
"," リオグランデ・ド・スル州
"
"BR-RJ
"," リオデジャネイロ州
"
"BR-RO
"," ロンドニア州
"
"BR-RR
"," ロライマ州
"
"BR-SC
"," サンタカタリーナ州
"
"BR-SE
"," セルジペ州
"
"BR-SP
"," サンパウロ州
"
"BR-TO
"," トカンティンス州
"
