Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
CA-ON,Ontario,安大略省,安大略省,Ontario,Ontario,Онтарио,Ontário,Ontario,온타리오주,オンタリオ州,
CA-YT,Yukon,育空地區,育空地區,Territoire du Yukon,Yukon,Юкон,Yukon,Yukón,유콘 준주,ユーコン準州,
CA-NB,New Brunswick,新不伦瑞克省,新不伦瑞克省,Nouveau-Brunswick,New Brunswick,Нью-Брансуик,Novo Brunswick,Nuevo Brunswick,뉴브런즈윅주,ニューブランズウィック州,
CA-NL,Newfoundland and Labrador,紐芬蘭與拉布拉多省,紐芬蘭與拉布拉多省,Terre-Neuve-et-Labrador,Neufundland und Labrador,Ньюфаундленд и Лабрадор,Terra Nova e Labrador,Terranova y Labrador,뉴펀들랜드 래브라도주,ニューファンドランド・ラブラドール州,
CA-NS,Nova Scotia,新斯科舍省,新斯科舍省,Nouvelle-Écosse,Nova Scotia,Новая Шотландия,Nova Escócia,Nueva Escocia,노바스코샤주,ノバスコシア州,
CA-PE,Prince Edward Island,愛德華王子島省,愛德華王子島省,Île-du-Prince-Édouard,Prince Edward Island,Остров Принца Эдуарда,Ilha do Príncipe Eduardo,Isla del Príncipe Eduardo,프린스에드워드아일랜드주,プリンスエドワードアイランド州,
CA-QC,Quebec,魁北克省,魁北克省,Québec,Québec,Квебек,Quebec,Quebec,퀘벡주,ケベック州,
CA-SK,Saskatchewan,薩斯喀徹溫省,薩斯喀徹溫省,Saskatchewan,Saskatchewan,Саскачеван,Saskatchewan,Saskatchewan,서스캐처원주,サスカチュワン州,
CA-NT,Northwest Territories,西北地区,西北地区,Territoires du Nord-Ouest,Nordwest-Territorien,Северо-Западные территории,Territórios do Noroeste,Territorios del Noroeste,노스웨스트 준주,ノースウエスト準州,
CA-AB,Alberta,艾伯塔省,艾伯塔省,Alberta,Alberta,Альберта,Alberta,Alberta,앨버타주,アルバータ州,
CA-BC,British Columbia,不列颠哥伦比亚省,不列颠哥伦比亚省,Colombie-Britannique,British Columbia,Британская Колумбия,Colúmbia Britânica,Columbia Británica,브리티시 컬럼비아 주,ブリティッシュコロンビア州,
CA-MB,Manitoba,曼尼托巴省,曼尼托巴省,Manitoba,Manitoba,Манитоба,Manitoba,Manitoba,매니토바주,マニトバ州,
CA-NU,Nunavut,努納武特地區,努納武特地區,Nunavut,Nunavut,Нунавут,Nunavut,Nunavut,누나부트 준주,ヌナブト準州,
