Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
CH-BL,Basel-Landschaft,巴塞爾鄉村州,巴塞爾鄉村州,Bâle-Campagne,Basel-Landschaft,Базель-Ланд,Basileia-Campo,Basilea-Campiña,,バーゼル＝ラント準州,
CH-GE,Genève,日內瓦州,日內瓦州,Genève,Genf,Женева,Genebra,Ginebra,,ジュネーヴ州,
CH-NE,Neuchâtel,纳沙泰尔州,纳沙泰尔州,Neuchâtel,Neuenburg,Невшатель,Neuchâtel,Neuchâtel,,ヌーシャテル州,
CH-TI,Ticino,提契諾州,提契諾州,Tessin,Tessin,Тичино,Tessino,Tesino,,ティチーノ州,
CH-NW,Nidwalden,下瓦爾登州,下瓦爾登州,Nidwald,Nidwalden,Нидвальден,Nidwald,Nidwalden,,ニトヴァルデン準州,
CH-SZ,Schwyz,施维茨州,施维茨州,Schwytz,Schwyz,Швиц,Schwyz,Schwyz,,シュヴィーツ州,
CH-SO,Solothurn,索洛圖恩州,索洛圖恩州,Soleure,Solothurn,Золотурн,Soleura,Soleura,,ゾロトゥルン州,
CH-ZH,Zürich,苏黎世州,苏黎世州,Zurich,Zürich,Цюрих,Zurique,Zúrich,,チューリッヒ州,
CH-AI,Appenzell Innerrhoden,内阿彭策尔州,内阿彭策尔州,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Аппенцелль-Иннерроден,Appenzell Interior,Appezell  Rodas Interiores,,アッペンツェル・インナーローデン準州,
CH-BS,Basel-Stadt,巴塞爾城市州,巴塞爾城市州,Bâle-Ville,Basel-Stadt,Базель-Штадт,Basileia-Cidade,Basilea-Ciudad,,バーゼル＝シュタット準州,
CH-BE,Bern,伯尔尼州,伯尔尼州,Berne,Bern,Берн,Berna,Berna,,ベルン州,
CH-FR,Fribourg,佛立堡州,佛立堡州,Fribourg,Freiburg,Фрибур,Friburgo,Friburgo,,フリブール州,
CH-SH,Schaffhausen,沙夫豪森州,沙夫豪森州,Schaffhouse,Schaffhausen,Шаффхаузен,Schaffhausen,Schaffhausen,,シャフハウゼン州,
CH-TG,Thurgau,圖爾高州,圖爾高州,Thurgovie,Thurgau,Тургау,Turgóvia,Turgovia,,トゥールガウ州,
CH-UR,Uri,烏里州,烏里州,Uri,Uri,Ури,Uri,Uri,,ウーリ州,
CH-VD,Vaud,沃州,沃州,Vaud,Waadt,Во,Vaud,Vaud,,ヴォー州,
CH-AG,Aargau,阿爾高州,阿爾高州,Argovie,Aargau,Аргау,Argóvia,Argovia,,アールガウ州,
CH-AR,Appenzell Ausserrhoden,外阿彭策尔州,外阿彭策尔州,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Аппенцелль-Ауссерроден,Appenzell Exterior,Appenzell  Rodas Exteriores,,アッペンツェル・アウサーローデン準州,
CH-JU,Jura,汝拉州,汝拉州,Jura,Jura,Юра,Jura,Jura,,ジュラ州,
CH-LU,Luzern,卢塞恩州,卢塞恩州,Lucerne,Luzern,Люцерн,Lucerna,Lucerna,,ルツェルン州,
CH-VS,Valais,瓦莱州,瓦莱州,Valais,Wallis,Вале,Valais,Valais,,ヴァレー州,
CH-ZG,Zug,楚格州,楚格州,Zoug,Zug,Цуг,Zug,Zug,,ツーク州,
CH-GL,Glarus,格拉魯斯州,格拉魯斯州,Glaris,Glarus,Гларус,Glarus,Glaris,,グラールス州,
CH-GR,Graubünden,格勞賓登州,格勞賓登州,Grisons,Graubünden,Граубюнден,Grisões,Grisones,,グラウビュンデン州,
CH-OW,Obwalden,上瓦爾登州,上瓦爾登州,Obwald,Obwalden,Обвальден,Obwald,Obwalden,,オプヴァルデン準州,
CH-SG,Sankt Gallen,聖加侖州,聖加侖州,Saint-Gall,St. Gallen,Санкт-Галлен,São Galo,San Galo,,ザンクト・ガレン州,
