"CH-AG
",Aargau
"CH-AR
",Appenzell Ausserrhoden
"CH-AI
",Appenzell Innerrhoden
"CH-BL
",Basel-Landschaft
"CH-BS
",Basel-Stadt
"CH-BE
",Bern
"CH-FR
",Freiburg
"CH-GE
",Genf
"CH-GL
",Glarus
"CH-GR
",Graubünden
"CH-JU
",Jura
"CH-LU
",Luzern
"CH-NE
",Neuenburg
"CH-NW
",Nidwalden
"CH-OW
",Obwalden
"CH-SH
",Schaffhausen
"CH-SZ
",Schwyz
"CH-SO
",Solothurn
"CH-SG
",St. Gallen
"CH-TI
",Tessin
"CH-TG
",Thurgau
"CH-UR
",Uri
"CH-VD
",Waadt
"CH-VS
",Wallis
"CH-ZG
",Zug
"CH-ZH
",Zürich
