"CH-AG
",Argovia
"CH-AI
",Appezell  Rodas Interiores
"CH-AR
",Appenzell  Rodas Exteriores
"CH-BE
",Berna
"CH-BL
",Basilea-Campiña
"CH-BS
",Basilea-Ciudad
"CH-FR
",Friburgo
"CH-GE
",Ginebra
"CH-GL
",Glaris
"CH-GR
",Grisones
"CH-JU
",Jura
"CH-LU
",Lucerna
"CH-NE
",Neuchâtel
"CH-NW
",Nidwalden
"CH-OW
",Obwalden
"CH-SG
",San Galo
"CH-SH
",Schaffhausen
"CH-SO
",Soleura
"CH-SZ
",Schwyz
"CH-TG
",Turgovia
"CH-TI
",Tesino
"CH-UR
",Uri
"CH-VD
",Vaud
"CH-VS
",Valais
"CH-ZG
",Zug
"CH-ZH
",Zúrich
