Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
CN-SC,Sichuan Sheng,四川省,四川省,,,,,,쓰촨성,四川省,
CN-SH,Shanghai Shi,上海市,上海市,,,,,,상하이시,上海市,
CN-AH,Anhui Sheng,安徽省,安徽省,,,,,,안후이성,安徽省,
CN-BJ,Beijing Shi,北京市,北京市,,,,,,베이징시,北京市,
CN-HB,Hubei Sheng,湖北省,湖北省,,,,,,후베이성,湖北省,
CN-JL,Jilin Sheng,吉林省,吉林省,,,,,,지린성,吉林省,
CN-LN,Liaoning Sheng,辽宁省,辽宁省,,,,,,랴오닝성,遼寧省,
CN-SX,Shanxi Sheng,山西省,山西省,,,,,,산시성,山西省,
CN-HK,Hong Kong,香港特别行政区,香港特别行政区,,,,,,홍콩,香港,
CN-GD,Guangdong Sheng,广东省,广东省,,,,,,광둥성,広東省,
CN-GX,Guangxi Zhuangzu Zizhiqu,广西壮族自治区,广西壮族自治区,,,,,,광시 좡족 자치구,広西チワン族自治区,
CN-GZ,Guizhou Sheng,贵州省,贵州省,,,,,,구이저우성,貴州省,
CN-NM,Nei Mongol Zizhiqu,内蒙古自治区,内蒙古自治区,,,,,,내몽골 자치구,内モンゴル自治区,
CN-SN,Shaanxi Sheng,陕西省,陕西省,,,,,,산시성,陝西省,
CN-TJ,Tianjin Shi,天津市,天津市,,,,,,톈진시,天津市,
CN-FJ,Fujian Sheng,福建省,福建省,,,,,,푸젠성,福建省,
CN-ZJ,Zhejiang Sheng,浙江省,浙江省,,,,,,저장성,浙江省,
CN-HE,Hebei Sheng,河北省,河北省,,,,,,허베이성,河北省,
CN-JX,Jiangxi Sheng,江西省,江西省,,,,,,장시성,江西省,
CN-NX,Ningxia Huizu Zizhiqu,宁夏回族自治区,宁夏回族自治区,,,,,,닝샤 후이족 자치구,寧夏回族自治区,
CN-SD,Shandong Sheng,山东省,山东省,,,,,,산둥성,山東省,
CN-XZ,Xizang Zizhiqu,西藏自治区,西藏自治区,,,,,,티베트 자치구,チベット自治区,
CN-YN,Yunnan Sheng,云南省,云南省,,,,,,윈난성,雲南省,
CN-CQ,Chongqing Shi,重庆市,重庆市,,,,,,충칭시,重慶市,
CN-HA,Henan Sheng,河南省,河南省,,,,,,허난성,河南省,
CN-HL,Heilongjiang Sheng,黑龙江省,黑龙江省,,,,,,헤이룽장성,黒竜江省,
CN-HN,Hunan Sheng,湖南省,湖南省,,,,,,후난성,湖南省,
CN-XJ,Xinjiang Uygur Zizhiqu,新疆维吾尔自治区,新疆维吾尔自治区,,,,,,신장 위구르 자치구,新疆ウイグル自治区,
CN-MO,"Macau, China",澳门特别行政区,澳门特别行政区,,,,,,마카오,マカオ,
CN-GS,Gansu Sheng,甘肃省,甘肃省,,,,,,간쑤성,甘粛省,
CN-HI,Hainan Sheng,海南省,海南省,,,,,,하이난성,海南省,
CN-JS,Jiangsu Sheng,江苏省,江苏省,,,,,,장쑤성,江蘇省,
CN-QH,Qinghai Sheng,青海省,青海省,,,,,,칭하이성,青海省,
CN-TW,Taiwan,台湾省,台湾省,,,,,,타이완성,台湾省,
