Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
DE-HB,Bremen,不萊梅,不萊梅,,Bremen,Бремен,Bremen,Bremen,,自由ハンザ都市ブレーメン,
DE-NW,North Rhine-Westphalia,北萊因-西發里亞,北萊因-西發里亞,,Nordrhein-Westfalen,Северный Рейн-Вестфалия,Renânia do Norte-Vestfália,Renania del Norte-Westfalia,,ノルトライン＝ヴェストファーレン州,
DE-BE,Berlin,柏林,柏林,,Berlin,Берлин,Berlim,Berlín,,ベルリン,
DE-ST,Saxony-Anhalt,薩克森-安哈特,薩克森-安哈特,,Sachsen-Anhalt,Саксония-Анхальт,Saxônia-Anhalt,Sajonia-Anhalt,,ザクセン＝アンハルト州,
DE-SL,Saarland,薩爾,薩爾,,Saarland,Саар,Sarre,Sarre,,ザールラント州,
DE-BB,Brandenburg,布蘭登堡,布蘭登堡,,Brandenburg,Бранденбург,Brandemburgo,Brandeburgo,,ブランデンブルク州,
DE-RP,Rhineland-Palatinate,萊因蘭-法爾茲,萊因蘭-法爾茲,,Rheinland-Pfalz,Рейнланд-Пфальц,Renânia-Palatinado,Renania-Palatinado,,ラインラント＝プファルツ州,
DE-SN,Saxony,薩克森,薩克森,,Sachsen,Саксония,Saxônia,Sajonia,,ザクセン自由州,
DE-BY,Bavaria,巴伐利亞,巴伐利亞,,Bayern,Бавария,Baviera,Baviera,,バイエルン自由州,
DE-HH,Hamburg,漢堡,漢堡,,Hamburg,Гамбург,Hamburgo,Hamburgo,,自由ハンザ都市ハンブルク,
DE-HE,Hesse,黑森,黑森,,Hessen,Гессен,Hesse,Hesse,,ヘッセン州,
DE-MV,Mecklenburg-Western Pomerania,梅克倫堡-西波美拉尼亞,梅克倫堡-西波美拉尼亞,,Mecklenburg-Vorpommern,Мекленбург-Передняя Померания,Meclemburgo-Pomerânia Ocidental,Mecklemburgo-Pomerania Occidental,,メクレンブルク＝フォアポンメルン州,
DE-NI,Lower Saxony,下薩克森,下薩克森,,Niedersachsen,Нижняя Саксония,Baixa Saxônia,Baja Sajonia,,ニーダーザクセン州,
DE-SH,Schleswig-Holstein,什列斯威-霍爾斯坦,什列斯威-霍爾斯坦,,Schleswig-Holstein,Шлезвиг-Гольштейн,Schleswig-Holstein,Schleswig-Holstein,,シュレースヴィヒ＝ホルシュタイン州,
DE-TH,Thuringia,圖林根,圖林根,,Thüringen,Тюрингия,Turíngia,Turingia,,テューリンゲン自由州,
DE-BW,Baden-Wurttemberg,巴登-符騰堡,巴登-符騰堡,,Baden-Württemberg,Баден-Вюртемберг,Baden-Württemberg,Baden-Wurtemberg,,バーデン＝ヴュルテンベルク州,
