Code,en,zh,zh-tw,fr,de,ru,pt,es,ko,ja,ar
ES-A,Alicante,阿利坎特省,阿利坎特省,Alicante,Alicante,Аликанте (Алакан),Alicante,Alacant,,アリカンテ県,
ES-PM,Illes Balears,巴利亞利省,巴利亞利省,Îles Baléares,Balearen,Балеарские острова,Balears,Baleares,,バレアレス諸島県,
ES-HU,Huesca,韋斯卡省,韋斯卡省,Huesca,Huesca,Уэска,Huesca,Huesca,,ウエスカ県,
ES-OR,Ourense,奧倫塞省,奧倫塞省,Orense,Ourense,Оренсе,Orense,Orense,,オウレンセ県,
ES-SE,Sevilla,塞維亞省,塞維亞省,Séville,Sevilla,Севилья,Sevilla,Sevilla,,セビリア県,
ES-VI,Álava,阿拉瓦省,阿拉瓦省,Alava,Álava,Алава (Араба),Álava,Álava,,アラバ県,
ES-AB,Albacete,阿爾瓦塞特省,阿爾瓦塞特省,Albacete,Albacete,Альбасете,Albacete,Albacete,,アルバセテ県,
ES-AV,Ávila,阿維拉省,阿維拉省,Ávila,Ávila,Авила,Ávila,Ávila,,アビラ県,
ES-BU,Burgos,布爾戈斯省,布爾戈斯省,Burgos,Burgos,Бургос,Burgos,Burgos,,ブルゴス県,
ES-GR,Granada,格拉納達省,格拉納達省,Grenade,Granada,Гранада,Granada,Granada,,グラナダ県,
ES-LO,La Rioja,拉里奧哈省,拉里奧哈省,La Rioja,La Rioja,Ла-Риоха,La Rioja,La Rioja,,ラ・リオハ県,
ES-SG,Segovia,塞哥維亞省,塞哥維亞省,Ségovie,Segovia,Сеговия,Segovia,Segovia,,セゴビア県,
ES-T,Tarragona,塔拉戈納省,塔拉戈納省,Tarragone,Tarragona,Таррагона,Tarragona,Tarragona,,タラゴナ県,
ES-GI,Girona,赫羅納省,赫羅納省,Gérone,Girona,Жирона (Херона),Girona,Gerona,,ジローナ県,
ES-S,Cantabria,坎塔布里亞省,坎塔布里亞省,Cantabrie,Kantabrien,Кантабрия,Cantabria,Cantabria,,カンタブリア県,
ES-MA,Málaga,馬拉加省,馬拉加省,Malaga,Málaga,Малага,Málaga,Málaga,,マラガ県,
ES-NA,Navarra,納瓦拉省,納瓦拉省,Navarre,Navarra,Наварра (Нафарроа),Navarra,Nafarroa,,ナバラ県,
ES-Z,Zaragoza,薩拉戈薩省,薩拉戈薩省,Saragosse,Saragossa,Сарагоса,Zaragoza,Zaragoza,,サラゴサ県,
ES-TO,Toledo,托萊多省,托萊多省,Tolède,Toledo,Толедо,Toledo,Toledo,,トレド県,
ES-BI,Bizkaia,比斯開省,比斯開省,Biscaye,Bizkaia,Бискайя,Bizkaia,Vizcaya,,ビスカヤ県,
