"ES-C
",A Coruña
"ES-VI
",Álava
"ES-AB
",Albacete
"ES-A
",Alicante
"ES-AL
",Almería
"ES-O
",Asturien
"ES-AV
",Ávila
"ES-BA
",Badajoz
"ES-PM
",Balearen
"ES-B
",Barcelona
"ES-BU
",Burgos
"ES-CC
",Cáceres
"ES-CA
",Cádiz
"ES-CS
",Castellón
"ES-CR
",Ciudad Real
"ES-CO
",Córdoba
"ES-CU
",Cuenca
"ES-GI
",Girona
"ES-GR
",Granada
"ES-GU
",Guadalajara
"ES-SS
",Guipúzcoa
"ES-H
",Huelva
"ES-HU
",Huesca
"ES-J
",Jaén
"ES-S
",Kantabrien
"ES-LO
",La Rioja
"ES-GC
",Las Palmas
"ES-LE
",León
"ES-L
",Lleida
"ES-LU
",Lugo
"ES-M
",Madrid
"ES-MA
",Málaga
"ES-MU
",Murcia
"ES-NA
",Navarra
"ES-OR
",Ourense
"ES-P
",Palencia
"ES-PO
",Pontevedra
"ES-SA
",Salamanca
"ES-TF
",Santa Cruz de Tenerife
"ES-Z
",Saragossa
"ES-SG
",Segovia
"ES-SE
",Sevilla
"ES-SO
",Soria
"ES-T
",Tarragona
"ES-TE
",Teruel
"ES-TO
",Toledo
"ES-V
",Valencia
"ES-VA
",Valladolid
"ES-BI
",Bizkaia
"ES-ZA
",Zamora
