"ES-C
",La Coruña
ES-VI,Álava
"ES-AB
",Albacete
"ES-A
",Alacant
"ES-AL
",Almería
ES-O,Asturias
"ES-AV
",Ávila
"ES-BA
",Badajoz
ES-PM,Baleares
"ES-B
",Barcelona
ES-BI,Vizcaya
"ES-BU
",Burgos
"ES-CC
",Cáceres
"ES-CA
",Cádiz
ES-S,Cantabria
"ES-CS
",Castelló
"ES-CR
",Ciudad Real
"ES-CO
",Córdoba
"ES-CU
",Cuenca
"ES-SS
",Guipúzcoa
"ES-GI
",Gerona
"ES-GR
",Granada
"ES-GU
",Guadalajara
"ES-H
",Huelva
"ES-HU
",Huesca
"ES-J
",Jaén
"ES-LO
",La Rioja
ES-GC,Las Palmas
"ES-LE
",León
"ES-L
",Lérida
"ES-LU
",Lugo
"ES-M
",Madrid
"ES-MA
",Málaga
"ES-MU
",Murcia
"ES-NA
",Nafarroa
"ES-OR
",Orense
"ES-P
",Palencia
"ES-PO
",Pontevedra
"ES-SA
",Salamanca
ES-TF,Santa Cruz de Tenerife
"ES-SG
",Segovia
"ES-SE
",Sevilla
"ES-SO
",Soria
"ES-T
",Tarragona
"ES-TE
",Teruel
"ES-TO
",Toledo
"ES-V
",València
"ES-VA
",Valladolid
"ES-ZA
",Zamora
"ES-Z
",Zaragoza
