ES-C,La Corogne
ES-VI,Alava
ES-AB,Albacete
ES-A,Alicante
ES-AL,Almería
ES-O,Asturies
ES-AV,Ávila
ES-BA,Badajoz
ES-PM,Îles Baléares
ES-B,Barcelone
ES-BU,Burgos
ES-CC,Cáceres
ES-CA,Cadix
ES-S,Cantabrie
ES-CS,Castellón
ES-CR,Ciudad Real
ES-CO,Cordoue
ES-CU,Cuenca
ES-GI,Gérone
ES-GR,Grenade
ES-GU,Guadalajara
ES-SS,Guipuscoa
ES-H,Huelva
ES-HU,Huesca
ES-J,Jaén
ES-LO,La Rioja
ES-GC,Las Palmas
ES-LE,León
ES-L,Lérida
ES-LU,Lugo
ES-M,Madrid
ES-MA,Malaga
ES-MU,Murcie
ES-NA,Navarre
ES-OR,Orense
ES-P,Palencia
ES-PO,Pontevedra
ES-SA,Salamanque
ES-TF,Santa Cruz de Tenerife
ES-SG,Ségovie
ES-SE,Séville
ES-SO,Soria
ES-T,Tarragone
ES-TE,Teruel
ES-TO,Tolède
ES-V,Valence
ES-VA,Valladolid
ES-BI,Biscaye
ES-ZA,Zamora
ES-Z,Saragosse
