"ES-C
",ア・コルーニャ県
"ES-VI
",アラバ県
"ES-AB
",アルバセテ県
"ES-A
",アリカンテ県
"ES-AL
",アルメリア県
"ES-O
",アストゥリアス県
"ES-AV
",アビラ県
"ES-BA
",バダホス県
"ES-PM
",バレアレス諸島県
"ES-B
",バルセロナ県
"ES-BU
",ブルゴス県
"ES-CC
",カセレス県
"ES-CA
",カディス県
"ES-S
",カンタブリア県
"ES-CS
",カステリョン県
"ES-CR
",シウダ・レアル県
"ES-CO
",コルドバ県
"ES-CU
",クエンカ県
"ES-GI
",ジローナ県
"ES-GR
",グラナダ県
"ES-GU
",グアダラハラ県
"ES-SS
",ギプスコア県
"ES-H
",ウエルバ県
"ES-HU
",ウエスカ県
"ES-J
",ハエン県
"ES-LO
",ラ・リオハ県
"ES-GC
",ラス・パルマス県
"ES-LE
",レオン県
"ES-L
",リェイダ県
"ES-LU
",ルーゴ県
"ES-M
",マドリード県
"ES-MA
",マラガ県
"ES-MU
",ムルシア県
"ES-NA
",ナバラ県
"ES-OR
",オウレンセ県
"ES-P
",パレンシア県
"ES-PO
",ポンテベドラ県
"ES-SA
",サラマンカ県
"ES-TF
",サンタ・クルス・デ・テネリフェ県
"ES-SG
",セゴビア県
"ES-SE
",セビリア県
"ES-SO
",ソリア県
"ES-T
",タラゴナ県
"ES-TE
",テルエル県
"ES-TO
",トレド県
"ES-V
",バレンシア県
"ES-VA
",バリャドリッド県
"ES-BI
",ビスカヤ県
"ES-ZA
",サモラ県
"ES-Z
",サラゴサ県
