ES-C,Ла-Корунья (А-Корунья)
ES-VI,Алава (Араба)
ES-AB,Альбасете
ES-A,Аликанте (Алакан)
ES-AL,Альмерия
ES-O,Астурия
ES-AV,Авила
ES-BA,Бадахос
ES-PM,Балеарские острова
ES-B,Барселона
ES-BU,Бургос
ES-CC,Касерес
ES-CA,Кадис
ES-S,Кантабрия
ES-CS,Кастельон (Кастельо)
ES-CR,Сьюдад-Реаль
ES-CO,Кордова
ES-CU,Куэнка
ES-GI,Жирона (Херона)
ES-GR,Гранада
ES-GU,Гвадалахара
ES-SS,Гипускоа
ES-H,Уэльва
ES-HU,Уэска
ES-J,Хаэн
ES-LO,Ла-Риоха
ES-GC,Лас-Пальмас
ES-LE,Леон
ES-L,Лерида (Льейда)
ES-LU,Луго
ES-M,Мадрид
ES-MA,Малага
ES-MU,Мурсия
ES-NA,Наварра (Нафарроа)
ES-OR,Оренсе
ES-P,Паленсия
ES-PO,Понтеведра
ES-SA,Саламанка
ES-TF,Санта-Крус-де-Тенерифе
ES-SG,Сеговия
ES-SE,Севилья
ES-SO,Сория
ES-T,Таррагона
ES-TE,Теруэль
ES-TO,Толедо
ES-V,Валенсия
ES-VA,Вальядолид
ES-BI,Бискайя
ES-ZA,Самора
ES-Z,Сарагоса
