ES-A,阿利坎特省
ES-AB,阿爾瓦塞特省
ES-AL,阿爾梅里亞省
ES-AV,阿維拉省
ES-B,巴塞隆納省
ES-BA,巴達霍斯省
ES-BI,比斯開省
ES-BU,布爾戈斯省
ES-C,拉科魯尼亞省
ES-CA,加的斯省
ES-CC,卡塞雷斯省
ES-CO,哥多華省
ES-CR,雷阿爾城省
ES-CS,卡斯特利翁省
ES-CU,昆卡省
ES-GC,拉斯帕爾馬斯省
ES-GI,赫羅納省
ES-GR,格拉納達省
ES-GU,瓜達拉哈拉省
ES-H,韋爾瓦省
ES-HU,韋斯卡省
ES-J,哈恩省
ES-L,萊里達省
ES-LE,雷昂省
ES-LO,拉里奧哈省
ES-LU,盧戈省
ES-M,馬德里省
ES-MA,馬拉加省
ES-MU,莫夕亞省
ES-NA,納瓦拉省
ES-O,阿斯圖里亞斯省
ES-OR,奧倫塞省
ES-P,帕倫西亞省
ES-PM,巴利亞利省
ES-PO,蓬特韋德拉省
ES-S,坎塔布里亞省
ES-SA,薩拉曼卡省
ES-SE,塞維亞省
ES-SG,塞哥維亞省
ES-SO,索里亞省
ES-SS,吉普斯誇省
ES-T,塔拉戈納省
ES-TE,特魯埃爾省
ES-TF,聖克魯斯-德特內里費省
ES-TO,托萊多省
ES-V,瓦倫西亞省
ES-VA,巴利亞多利德省
ES-VI,阿拉瓦省
ES-Z,薩拉戈薩省
ES-ZA,薩莫拉省
