,
"GB-ENG
",England,"country
",England,
"GB-NIR
",Northern Ireland,"province
",Northern Ireland,
"GB-SCT
",Scotland,"country
",Scotland,
"GB-WLS
",Wales,"country
",Wales,
,Learn how and when to remove this template message,,
,
"GB-EAW
",England and Wales,,
"GB-GBN
",Great Britain,,
"GB-UKM
",United Kingdom,,
,
"GB-CAM
",Cambridgeshire,"two-tier county
",ENG,,
"GB-CMA
",Cumbria,"two-tier county
",ENG,,
"GB-DBY
",Derbyshire,"two-tier county
",ENG,,
"GB-DEV
",Devon,"two-tier county
",ENG,,
"GB-DOR
",Dorset,"two-tier county
",ENG,,
"GB-ESX
",East Sussex,"two-tier county
",ENG,,
"GB-ESS
",Essex,"two-tier county
",ENG,,
"GB-GLS
",Gloucestershire,"two-tier county
",ENG,,
"GB-HAM
",Hampshire,"two-tier county
",ENG,,
"GB-HRT
",Hertfordshire,"two-tier county
",ENG,,
"GB-KEN
",Kent,"two-tier county
",ENG,,
"GB-LAN
",Lancashire,"two-tier county
",ENG,,
"GB-LEC
",Leicestershire,"two-tier county
",ENG,,
"GB-LIN
",Lincolnshire,"two-tier county
",ENG,,
"GB-NFK
",Norfolk,"two-tier county
",ENG,,
"GB-NYK
",North Yorkshire,"two-tier county
",ENG,,
"GB-NTT
",Nottinghamshire,"two-tier county
",ENG,,
"GB-OXF
",Oxfordshire,"two-tier county
",ENG,,
"GB-SOM
",Somerset,"two-tier county
",ENG,,
"GB-STS
",Staffordshire,"two-tier county
",ENG,,
"GB-SFK
",Suffolk,"two-tier county
",ENG,,
"GB-SRY
",Surrey,"two-tier county
",ENG,,
"GB-WAR
",Warwickshire,"two-tier county
",ENG,,
"GB-WSX
",West Sussex,"two-tier county
",ENG,,
"GB-WOR
",Worcestershire,"two-tier county
",ENG,,
"GB-LND
","London, City of","city corporation
",ENG,,
"GB-BDG
",Barking and Dagenham,"London borough
",ENG,,
"GB-BNE
",Barnet,"London borough
",ENG,,
"GB-BEX
",Bexley,"London borough
",ENG,,
"GB-BEN
",Brent,"London borough
",ENG,,
"GB-BRY
",Bromley,"London borough
",ENG,,
"GB-CMD
",Camden,"London borough
",ENG,,
"GB-CRY
",Croydon,"London borough
",ENG,,
"GB-EAL
",Ealing,"London borough
",ENG,,
"GB-ENF
",Enfield,"London borough
",ENG,,
"GB-GRE
",Greenwich,"London borough
",ENG,,
"GB-HCK
",Hackney,"London borough
",ENG,,
"GB-HMF
",Hammersmith and Fulham,"London borough
",ENG,,
"GB-HRY
",Haringey,"London borough
",ENG,,
"GB-HRW
",Harrow,"London borough
",ENG,,
"GB-HAV
",Havering,"London borough
",ENG,,
"GB-HIL
",Hillingdon,"London borough
",ENG,,
"GB-HNS
",Hounslow,"London borough
",ENG,,
"GB-ISL
",Islington,"London borough
",ENG,,
"GB-KEC
",Kensington and Chelsea,"London borough
",ENG,,
"GB-KTT
",Kingston upon Thames,"London borough
",ENG,,
"GB-LBH
",Lambeth,"London borough
",ENG,,
"GB-LEW
",Lewisham,"London borough
",ENG,,
"GB-MRT
",Merton,"London borough
",ENG,,
"GB-NWM
",Newham,"London borough
",ENG,,
"GB-RDB
",Redbridge,"London borough
",ENG,,
"GB-RIC
",Richmond upon Thames,"London borough
",ENG,,
"GB-SWK
",Southwark,"London borough
",ENG,,
"GB-STN
",Sutton,"London borough
",ENG,,
"GB-TWH
",Tower Hamlets,"London borough
",ENG,,
"GB-WFT
",Waltham Forest,"London borough
",ENG,,
"GB-WND
",Wandsworth,"London borough
",ENG,,
"GB-WSM
",Westminster,"London borough
",ENG,,
"GB-BNS
",Barnsley,"metropolitan district
",ENG,,
"GB-BIR
",Birmingham,"metropolitan district
",ENG,,
"GB-BOL
",Bolton,"metropolitan district
",ENG,,
"GB-BRD
",Bradford,"metropolitan district
",ENG,,
"GB-BUR
",Bury,"metropolitan district
",ENG,,
"GB-CLD
",Calderdale,"metropolitan district
",ENG,,
"GB-COV
",Coventry,"metropolitan district
",ENG,,
"GB-DNC
",Doncaster,"metropolitan district
",ENG,,
"GB-DUD
",Dudley,"metropolitan district
",ENG,,
