,
".mw-parser-output .monospaced{font-family:monospace,monospace}GB-ENG
",,"country
",イングランド,,イングランドの旗
"GB-NIR
","  Northern Ireland
","province
",北アイルランド,,
"GB-SCT
",,"country
",スコットランド,,スコットランドの旗
"GB-WLS
",Cymru,"country
",ウェールズ,,ウェールズの旗
,
"GB-EAW
","England and Wales
",イングランドおよびウェールズ,,
"GB-GBN
","Great Britain
",グレートブリテン島,,
"GB-UKM
","United Kingdom
",グレートブリテン及び北アイルランド連合王国,,
,
GB-ABE,Aberdeen City,アバディーン,council area,GB-SCT,"
",,
GB-ABD,Aberdeenshire,アバディーンシャー,council area,GB-SCT,"
",,
GB-ANS,Angus,アンガス,council area,GB-SCT,"
",,
GB-ANN,Antrim and Newtownabbey,アントリム・アンド・ニュータウンアベイ,district,GB-NIR,"
",,
GB-AND,Ards and North Down,アーズ・アンド・ノース・ダウン,district,GB-NIR,"
",,
GB-AGB,Argyll and Bute,アーガイル・アンド・ビュート,council area,GB-SCT,"
",,
GB-ABC,"Armagh, Banbridge and Craigavon",アーマー・シティ・バンブリッジ・アンド・クレイガヴォン,district,GB-NIR,"
",,
GB-BDG,Barking and Dagenham,バーキング・アンド・ダゲナム区,London borough,GB-ENG,"
",,
GB-BNE,Barnet,バーネット区,London borough,GB-ENG,"
",,
GB-BNS,Barnsley,英語版,metropolitan district,GB-ENG,バーンズリー,,
GB-BAS,Bath and North East Somerset,バース・アンド・ノース・イースト・サマセット,unitary authority,GB-ENG,"
",,
GB-BDF,Bedford,英語版,unitary authority,GB-ENG,ベッドフォード,,
GB-BFS,Belfast,ベルファスト,district,GB-NIR,"
",,
GB-BEX,Bexley,ベクスリー区,London borough,GB-ENG,"
",,
GB-BIR,Birmingham,バーミンガム,metropolitan district,GB-ENG,"
",,
GB-BBD,Blackburn with Darwen,英語版,unitary authority,GB-ENG,ブラックバーン,,
GB-BPL,Blackpool,ブラックプール,unitary authority,GB-ENG,"
",,
GB-BGW,Blaenau Gwent,ブライナイ・グエント,unitary authority,GB-WLS,"
",,
GB-BOL,Bolton,英語版,metropolitan district,GB-ENG,ボルトン,,
GB-BMH,Bournemouth,ボーンマス,unitary authority,GB-ENG,"
",,
GB-BRC,Bracknell Forest,英語版,unitary authority,GB-ENG,バークシャー,,
GB-BRD,Bradford,シティ・オブ・ブラッドフォード,metropolitan district,GB-ENG,"
",,
GB-BEN,Brent,ブレント区,London borough,GB-ENG,"
",,
GB-BGE,Bridgend [Pen-y-bont ar Ogwr GB-POG],ブリジェンド (カウンティ・バラ),unitary authority,GB-WLS,ブリジェンド,,
GB-BNH,Brighton and Hove,ブライトン・アンド・ホヴ,unitary authority,GB-ENG,"
",,
GB-BST,"Bristol, City of",ブリストル,unitary authority,GB-ENG,"
",,
GB-BRY,Bromley,ブロムリー区,London borough,GB-ENG,"
",,
GB-BKM,Buckinghamshire,バッキンガムシャー,two-tier county,GB-ENG,"
",,
GB-BUR,Bury,英語版,metropolitan district,GB-ENG,ベリー,,
GB-CAY,Caerphilly [Caerffili GB-CAF],ケアフィリ (カウンティ・バラ),unitary authority,GB-WLS,ケアフィリ,,
GB-CLD,Calderdale,英語版,metropolitan district,GB-ENG,ウェスト・ヨークシャー,,
GB-CAM,Cambridgeshire,ケンブリッジシャー,two-tier county,GB-ENG,ケンブリッジ,,
GB-CMD,Camden,カムデン区,London borough,GB-ENG,"
",,
