,
"GB-ENG
",잉글랜드,"country
",잉글랜드,잉글랜드
"GB-NIR
",북아일랜드,"province
",북아일랜드,
"GB-SCT
",스코틀랜드,"country
",스코틀랜드,스코틀랜드
"GB-WLSGB-CYM
",웨일스,"country
",웨일스,웨일스
,
"GB-EAW
",잉글랜드 웨일스,,
"GB-GBN
",그레이트브리튼섬,,
"GB-UKM
",영국,,
,
"GB-BKM
",버킹엄셔주,"two-tier county
",ENG,,
"GB-CAM
",케임브리지셔주,"two-tier county
",ENG,,
"GB-CMA
",컴브리아주,"two-tier county
",ENG,,
"GB-DBY
",더비셔주,"two-tier county
",ENG,,
"GB-DEV
",데번주,"two-tier county
",ENG,,
"GB-DOR
",도싯주,"two-tier county
",ENG,,
"GB-ESX
",이스트서식스주,"two-tier county
",ENG,,
"GB-ESS
",에식스주,"two-tier county
",ENG,,
"GB-GLS
",글로스터셔주,"two-tier county
",ENG,,
"GB-HAM
",햄프셔주,"two-tier county
",ENG,,
"GB-HRT
",하트퍼드셔주,"two-tier county
",ENG,,
"GB-KEN
",켄트주,"two-tier county
",ENG,,
"GB-LAN
",랭커셔주,"two-tier county
",ENG,,
"GB-LEC
",레스터셔주,"two-tier county
",ENG,,
"GB-LIN
",링컨셔주,"two-tier county
",ENG,,
"GB-NFK
",노퍽주,"two-tier county
",ENG,,
"GB-NYK
",노스요크셔주,"two-tier county
",ENG,,
"GB-NTH
",노샘프턴셔주,"two-tier county
",ENG,,
"GB-NTT
",노팅엄셔주,"two-tier county
",ENG,,
"GB-OXF
",옥스퍼드셔주,"two-tier county
",ENG,,
"GB-SOM
",서머싯주,"two-tier county
",ENG,,
"GB-STS
",스태퍼드셔주,"two-tier county
",ENG,,
"GB-SFK
",서퍽주,"two-tier county
",ENG,,
"GB-SRY
",서리주,"two-tier county
",ENG,,
"GB-WAR
",워릭셔주,"two-tier county
",ENG,,
"GB-WSX
",웨스트서식스주,"two-tier county
",ENG,,
"GB-WOR
",우스터셔주,"two-tier county
",ENG,,
"GB-LND
","London, City of","city corporation
",ENG,,
"GB-BDG
",Barking and Dagenham,"London borough
",ENG,,
"GB-BNE
",Barnet,"London borough
",ENG,,
"GB-BEX
",Bexley,"London borough
",ENG,,
"GB-BEN
",Brent,"London borough
",ENG,,
"GB-BRY
",Bromley,"London borough
",ENG,,
"GB-CMD
",Camden,"London borough
",ENG,,
"GB-CRY
",Croydon,"London borough
",ENG,,
"GB-EAL
",Ealing,"London borough
",ENG,,
"GB-ENF
",Enfield,"London borough
",ENG,,
"GB-GRE
",Greenwich,"London borough
",ENG,,
"GB-HCK
",Hackney,"London borough
",ENG,,
"GB-HMF
",Hammersmith and Fulham,"London borough
",ENG,,
"GB-HRY
",Haringey,"London borough
",ENG,,
"GB-HRW
",Harrow,"London borough
",ENG,,
"GB-HAV
",Havering,"London borough
",ENG,,
"GB-HIL
",Hillingdon,"London borough
",ENG,,
"GB-HNS
",Hounslow,"London borough
",ENG,,
"GB-ISL
",Islington,"London borough
",ENG,,
"GB-KEC
",Kensington and Chelsea,"London borough
",ENG,,
"GB-KTT
",Kingston upon Thames,"London borough
",ENG,,
"GB-LBH
",Lambeth,"London borough
",ENG,,
"GB-LEW
",Lewisham,"London borough
",ENG,,
"GB-MRT
",Merton,"London borough
",ENG,,
"GB-NWM
",Newham,"London borough
",ENG,,
"GB-RDB
",Redbridge,"London borough
",ENG,,
"GB-RIC
",Richmond upon Thames,"London borough
",ENG,,
"GB-SWK
",Southwark,"London borough
",ENG,,
"GB-STN
",Sutton,"London borough
",ENG,,
"GB-TWH
",Tower Hamlets,"London borough
",ENG,,
"GB-WFT
",Waltham Forest,"London borough
",ENG,,
"GB-WND
",Wandsworth,"London borough
",ENG,,
"GB-WSM
",Westminster,"London borough
",ENG,,
"GB-BNS
",Barnsley,"metropolitan district
",ENG,,
"GB-BIR
",Birmingham,"metropolitan district
",ENG,,
"GB-BOL
",Bolton,"metropolitan district
",ENG,,
"GB-BRD
",Bradford,"metropolitan district
",ENG,,
"GB-BUR
",Bury,"metropolitan district
",ENG,,
"GB-CLD
",Calderdale,"metropolitan district
",ENG,,
"GB-COV
",Coventry,"metropolitan district
",ENG,,
"GB-DNC
",Doncaster,"metropolitan district
",ENG,,
"GB-DUD
",Dudley,"metropolitan district
",ENG,,
"GB-GAT
",Gateshead,"metropolitan district
",ENG,,
"GB-KIR
",Kirklees,"metropolitan district
",ENG,,
"GB-KWL
",Knowsley,"metropolitan district
",ENG,,
"GB-LDS
",Leeds,"metropolitan district
",ENG,,
