,
"GB-ENG
",Inglaterra,"país
",Inglaterra,
"GB-NIR
",Irlanda do Norte,"província
",,
"GB-SCT
",Escócia,"país
",,
"GB-WLS
",País de Gales,"país
",,
,
"GB-EAW
",Inglaterra e País de Gales,,
"GB-GBN
",Grã-Bretanha,,
"GB-UKM
",Reino Unido,,
,
"GB-BKM
",Buckinghamshire,"condado de dois níveis 
",ENG,,
"GB-CAM
",Cambridgeshire,"condado de dois níveis 
",ENG,,
"GB-CMA
",Cumbria,"condado de dois níveis 
",ENG,,
"GB-DBY
",Derbyshire,"condado de dois níveis 
",ENG,,
"GB-DEV
",Devon,"condado de dois níveis 
",ENG,,
"GB-DOR
",Dorset,"condado de dois níveis 
",ENG,,
"GB-ESX
",East Sussex,"condado de dois níveis 
",ENG,,
"GB-ESS
",Essex,"condado de dois níveis 
",ENG,,
"GB-GLS
",Gloucestershire,"condado de dois níveis 
",ENG,,
"GB-HAM
",Hampshire,"condado de dois níveis 
",ENG,,
"GB-HRT
",Hertfordshire,"condado de dois níveis 
",ENG,,
"GB-KEN
",Kent,"condado de dois níveis 
",ENG,,
"GB-LAN
",Lancashire,"condado de dois níveis 
",ENG,,
"GB-LEC
",Leicestershire,"condado de dois níveis 
",ENG,,
"GB-LIN
",Lincolnshire,"condado de dois níveis 
",ENG,,
"GB-NFK
",Norfolk,"condado de dois níveis 
",ENG,,
"GB-NYK
",North Yorkshire,"condado de dois níveis 
",ENG,,
"GB-NTH
",Northamptonshire,"condado de dois níveis 
",ENG,,
"GB-NTT
",Nottinghamshire,"condado de dois níveis 
",ENG,,
"GB-OXF
",Oxfordshire,"condado de dois níveis 
",ENG,,
"GB-SOM
",Somerset,"condado de dois níveis 
",ENG,,
"GB-STS
",Staffordshire,"condado de dois níveis 
",ENG,,
"GB-SFK
",Suffolk,"condado de dois níveis 
",ENG,,
"GB-SRY
",Surrey,"condado de dois níveis 
",ENG,,
"GB-WAR
",Warwickshire,"condado de dois níveis 
",ENG,,
"GB-WSX
",West Sussex,"condado de dois níveis 
",ENG,,
"GB-WOR
",Worcestershire,"condado de dois níveis 
",ENG,,
"GB-LND
","Londres, Cidade de","corporação municipal 
",ENG,,
"GB-BDG
",Barking e Dagenham,"borough da Grande Londres 
",ENG,,
"GB-BNE
",Barnet,"borough da Grande Londres 
",ENG,,
"GB-BEX
",Bexley,"borough da Grande Londres 
",ENG,,
"GB-BEN
",Brent,"borough da Grande Londres 
",ENG,,
"GB-BRY
",Bromley,"borough da Grande Londres 
",ENG,,
"GB-CMD
",Camden,"borough da Grande Londres 
",ENG,,
"GB-CRY
",Croydon,"borough da Grande Londres 
",ENG,,
"GB-EAL
",Ealing,"borough da Grande Londres 
",ENG,,
"GB-ENF
",Enfield,"borough da Grande Londres 
",ENG,,
"GB-GRE
",Greenwich,"borough da Grande Londres 
",ENG,,
"GB-HCK
",Hackney,"borough da Grande Londres 
",ENG,,
"GB-HMF
",Hammersmith e Fulham,"borough da Grande Londres 
",ENG,,
"GB-HRY
",Haringey,"borough da Grande Londres 
",ENG,,
"GB-HRW
",Harrow,"borough da Grande Londres 
",ENG,,
"GB-HAV
",Havering,"borough da Grande Londres 
",ENG,,
"GB-HIL
",Hillingdon,"borough da Grande Londres 
",ENG,,
"GB-HNS
",Hounslow,"borough da Grande Londres 
",ENG,,
"GB-ISL
",Islington,"borough da Grande Londres 
",ENG,,
"GB-KEC
",Kensington e Chelsea,"borough da Grande Londres 
",ENG,,
"GB-KTT
",Kingston upon Thames,"borough da Grande Londres 
",ENG,,
"GB-LBH
",Lambeth,"borough da Grande Londres 
",ENG,,
"GB-LEW
",Lewisham,"borough da Grande Londres 
",ENG,,
