,
GB-ENG,英格兰,"王國
",英格兰,
GB-SCT,苏格兰,"王國
",苏格兰,
GB-NIR,北愛爾蘭,"地區
",北愛爾蘭,
GB-WLS,威尔士,"王國
",威尔士,
,
GB-EAW,英格蘭和威爾斯,,
GB-GBN,大不列顛,,
GB-UKM,"英國本土
",,
,
"GB-BAS
",巴斯-東北薩默塞特,"Bath and North East Somerset
","單一管理區
",,
"GB-BBD
",布萊克本-達文,"Blackburn with Darwen
","單一管理區
",,
"GB-BDF
",貝德福德區,"Bedford
","單一管理區
",,
"GB-BDG
",巴金-达格纳姆区,"Barking and Dagenham
","倫敦自治市
",,
"GB-BEN
",布伦特区,"Brent
","倫敦自治市
",,
"GB-BEX
",贝克斯利区,"Bexley
","倫敦自治市
",,
"GB-BIR
",伯明罕,"Birmingham
","都會自治市
",,
"GB-BKM
",白金漢郡,"Buckinghamshire
","非都會郡
",,
"GB-BMH
",伯恩茅斯,"Bournemouth
","單一管理區
",,
"GB-BNE
",巴尼特区,"Barnet
","倫敦自治市
",,
"GB-BNH
",布赖顿-霍夫,"Brighton and Hove
","單一管理區
",,
"GB-BNS
",巴恩斯利都市自治市,"Barnsley
","都會自治市
",,
"GB-BOL
",博爾頓都市自治市,"Bolton
","都會自治市
",,
"GB-BPL
",布莱克浦,"Blackpool
","單一管理區
",,
"GB-BRC
",布拉克內爾森林,"Bracknell Forest
","單一管理區
",,
"GB-BRD
",布拉德福德市,"Bradford
","都會自治市
",,
"GB-BRY
",布罗姆利区,"Bromley
","倫敦自治市
",,
"GB-BST
",布里斯托尔,"Bristol
","單一管理區
",,
"GB-BUR
",貝里都市自治市,"Bury
","都會自治市
",,
"GB-CAM
",劍橋郡,"Cambridgeshire
","非都會郡
",,
"GB-CBF
",中央貝德福德郡,"Central Bedfordshire
","單一管理區
",,
"GB-CHE
",柴郡東,"Cheshire East
","單一管理區
",,
"GB-CHW
",柴郡西-切斯特,"Cheshire West and Chester
","單一管理區
",,
"GB-CLD
",科爾德河谷,"Calderdale
","都會自治市
",,
"GB-CMA
",坎布里亞郡,"Cumbria
","非都會郡
",,
"GB-CMD
",卡姆登区,"Camden
","倫敦自治市
",,
"GB-CON
",康沃尔郡,"Cornwall
","單一管理區
",,
"GB-COV
",科芬特里,"Coventry
","都會自治市
",,
"GB-CRY
",克罗伊登区,"Croydon
","倫敦自治市
",,
"GB-DAL
",達靈頓,"Darlington
","單一管理區
",,
"GB-DBY
",德比郡,"Derbyshire
","非都會郡
",,
"GB-DER
",德比,"Derby
","單一管理區
",,
"GB-DEV
",德文郡,"Devon
","非都會郡
",,
"GB-DNC
",唐卡斯特,"Doncaster
","都會自治市
",,
"GB-DOR
",多塞特郡,"Dorset
","非都會郡
",,
"GB-DUD
",達德利,"Dudley
","都會自治市
",,
"GB-DUR
",达勒姆市,"Durham
","單一管理區
",,
"GB-EAL
",伊灵区,"Ealing
","倫敦自治市
",,
"GB-ENF
",恩菲尔德区,"Enfield
","倫敦自治市
",,
"GB-ERY
",東約克郡,"East Riding of Yorkshire
","單一管理區
",,
"GB-ESS
",埃塞克斯郡,"Essex
","非都會郡
",,
"GB-ESX
",東薩塞克斯郡,"East Sussex
","非都會郡
",,
"GB-GAT
",蓋茨黑德都市自治市,"Gateshead
","都會自治市
",,
"GB-GLS
",格洛斯特郡,"Gloucestershire
","非都會郡
",,
"GB-GRE
",格林威治区,"Greenwich
","倫敦自治市
",,
"GB-HAL
",哈爾頓,"Halton
","單一管理區
",,
"GB-HAM
",汉普郡,"Hampshire
","非都會郡
",,
"GB-HAV
",黑弗灵区,"Havering
","倫敦自治市
",,
"GB-HCK
",哈克尼区,"Hackney
","倫敦自治市
",,
"GB-HEF
",赫里福德郡,"Herefordshire
","單一管理區
",,
"GB-HIL
",希灵登区,"Hillingdon
","倫敦自治市
",,
"GB-HMF
",哈默史密斯-富勒姆区,"Hammersmith and Fulham
","倫敦自治市
",,
