Busan,KR-26,"Stadtprovinz
",,
Chungcheongbuk-do,KR-43,"Provinz
",,
Chungcheongnam-do,KR-44,"Provinz
",,
Daegu,KR-27,"Stadtprovinz
",,
Daejeon,KR-30,"Stadtprovinz
",,
Gangwon-do,KR-42,"Provinz
",,
Gwangju,KR-29,"Stadtprovinz
",,
Gyeonggi-do,KR-41,"Provinz
",,
Gyeongsangbuk-do,KR-47,"Provinz
",,
Gyeongsangnam-do,KR-48,"Provinz
",,
Incheon,KR-28,"Stadtprovinz
",,
Jeju-do,KR-49,"spezielle Provinz
",,
Jeollabuk-do,KR-45,"Provinz
",,
Jeollanam-do,KR-46,"Provinz
",,
Sejong,KR-50,"spezielle autonome Stadt
",,
Seoul,KR-11,"besondere Stadt
",,
Ulsan,KR-31,"Stadtprovinz
",,
