,
KR-26,Busan,Busan-gwangyeoksi,Busan,"metropolitan city
",,
KR-27,Daegu,Daegu-gwangyeoksi,Daegu,"metropolitan city
",,
KR-30,Daejeon,Daejeon-gwangyeoksi,Daejeon,"metropolitan city
",,
KR-42,Gangwon,Gangwon-do,Gangwon,"province
",,
KR-29,Gwangju,Gwangju-gwangyeoksi,Gwangju,"metropolitan city
",,
KR-41,Gyeonggi,Gyeonggi-do,Gyeonggi,"province
",,
KR-28,Incheon,Incheon-gwangyeoksi,Incheon,"metropolitan city
",,
KR-49,Jeju,Jeju-teukbyeoljachido,Jeju,"special self-governing province
",,
KR-43,North Chungcheong,Chungcheongbuk-do,Chungbuk,"province
",,
KR-47,North Gyeongsang,Gyeongsangbuk-do,Gyeongbuk,"province
",,
KR-45,North Jeolla,Jeollabuk-do,Jeonbuk,"province
",,
KR-50,Sejong,Sejong,,"special self-governing city
",,
KR-11,Seoul,Seoul-teukbyeolsi,Seoul,"special city
",,
KR-44,South Chungcheong,Chungcheongnam-do,Chungnam,"province
",,
KR-48,South Gyeongsang,Gyeongsangnam-do,Gyeongnam,"province
",,
KR-46,South Jeolla,Jeollanam-do,Jeonnam,"province
",,
KR-31,Ulsan,Ulsan-gwangyeoksi,Ulsan,"metropolitan city
",,
,
Newsletter I-1,"2000-06-21
","Correction of 1 spelling mistake. Update of the source information
",,
