,
KR-11,서울특별시,서울特別市,Seo-ul teukbyeolsi,Sŏul t'ŭkpyŏlsi,Seúl,"Ciudad especial capital
",,
KR-26,부산광역시,釜山廣域市,Busangwang-yeoksi,Pusankwang'yŏksi,Busan,"Municipio metropolitano
",,
KR-27,대구광역시,大邱廣域市,Daegugwang-yeoksi,Taegukwang'yŏksi,Daegu,"Municipio metropolitano
",,
KR-28,인천광역시,仁川廣域市,Incheongwang-yeoksi,Inch'ŏnkwang'yŏkshi,Incheon,"Municipio metropolitano
",,
KR-29,광주광역시,光州廣域市,GGwangjugwang-yeoksi,Kwangjukwang'yŏksi,Gwangju,"Municipio metropolitano
",,
KR-30,대전광역시,大田廣域市,Daejeongwang-yeoksi,Taejŏnkwang'yŏksi,Daejeon,"Municipio metropolitano
",,
KR-31,울산광역시,蔚山廣域市,Ulsangwang-yeoksi,Ulsankwang'yŏksi,Ulsan,"Municipio metropolitano
",,
KR-41,경기도,京畿道,Gyeonggi-do,Kyŏnggi-do,Gyeonggi,"Provincia
",,
KR-42,강원도,江原道,Gangwon-do,Kangwŏn-do,Gangwon,"Provincia
",,
KR-43,충청북도,忠清北道,Chungcheongbuk-do,Ch'ungch'ŏng-pukto,Chungcheong del Norte,"Provincia
",,
KR-44,충청남도,忠清南道,Chungcheongnam-do,Ch'ungch'ŏng-namdo,Chungcheong del Sur,"Provincia
",,
KR-45,전라북도,全羅北道,Jeollabuk-do,Chŏllapuk-to,Jeolla del Norte,"Provincia
",,
KR-46,전라남도,全羅南道,Jeollanam-do,Chŏllanam-do,Jeolla del Sur,"Provincia
",,
KR-47,경상북도,慶尙北道,Gyeongsangbuk-do,Kyŏngsang-pukto,Gyeongsang del Norte,"Provincia
",,
KR-48,경상남도,慶尙南道,Gyeongsangnam-do,Kyŏngsang-namdo,Gyeongsang del Sur,"Provincia
",,
KR-49,제주특별자치도,濟州特別自治道,Jeju teukbyeoljachido,Cheju T'ŭkpyŏlchach'ido,Jeju,"Provincia autónoma especial
",,
,
Boletín I-1,"2000-06-21
","Corrección de 1 error ortográfico. Se actualiza la fuente de información
",,
