,
KR-43 ,Chungcheong du Nord,Chungcheongbuk-do,"province
",,
KR-44 ,Chungcheong du Sud,Chungcheongnam-do,"province
",,
KR-42 ,Gangwon ,Gangwon-do,"province
",,
KR-41 ,Gyeonggi ,Gyeonggi-do,"province
",,
KR-47 ,Gyeongsang du Nord,Gyeongsangbuk-do,"province
",,
KR-48 ,Gyeongsang du Sud,Gyeongsangnam-do,"province
",,
KR-45 ,Jeolla du Nord,Jeollabuk-do,"province
",,
KR-46 ,Jeolla du Sud,Jeollanam-do,"province
",,
KR-49 ,Jeju ,Jeju-teukbyeoljachido],"province autonome spéciale
",,
,
KR-11 ,Séoul,Seoul-teukbyeolsi,"ville spéciale
",,
KR-50 ,Sejong,,"ville autonome spéciale
",,
KR-26 ,Pusan,Busan-gwangyeoksi,"ville métropolitaine
",,
KR-27 ,Daegu ,Daegu-gwangyeoksi,"ville métropolitaine
",,
KR-30 ,Daejeon ,Daejeon-gwangyeoksi,"ville métropolitaine
",,
KR-29 ,Gwangju ,Gwangju-gwangyeoksi,"ville métropolitaine
",,
KR-28 ,Incheon ,Incheon-gwangyeoksi,"ville métropolitaine
",,
KR-31 ,Ulsan ,Ulsan-gwangyeoksi,"ville métropolitaine
",,
