,A,,
,
KR-11,Seoul,"capital metropolitana
",,
KR-26,Busan,"cidade metropolitana
",,
KR-27,Daegu,"cidade metropolitana
",,
KR-30,Daejeon,"cidade metropolitana
",,
KR-29,Gwangju,"cidade metropolitana
",,
KR-28,Incheon,"cidade metropolitana
",,
KR-31,Ulsan,"cidade metropolitana
",,
KR-43,Chungcheong do Norte,"província
",,
KR-44,Chungcheong do Sul,"província
",,
KR-42,Gangwon,"província
",,
KR-41,Gyeonggi,"província
",,
KR-47,Gyeongsang do Norte,"província
",,
KR-48,Gyeongsang do Sul,"província
",,
KR-49,Jeju,"província
",,
KR-45,Jeolla do Norte,"província
",,
KR-46,Jeolla do Sul,"província
",,
