,
,
,
KR-11,Сеул,"город особого статуса
",,
KR-26,Пусан,"город метрополия
",,
KR-27,Тэгу,"город метрополия
",,
KR-28,Инчхон,"город метрополия
",,
KR-29,Кванджу,"город метрополия
",,
KR-30,Тэджон,"город метрополия
",,
KR-31,Ульсан,"город метрополия
",,
KR-41,Кёнгидо,"провинция
",,
KR-42,Канвондо,"провинция
",,
KR-43,Чхунчхон-Пукто,"провинция
",,
KR-44,Чхунчхон-Намдо,"провинция
",,
KR-45,Чолла-Пукто,"провинция
",,
KR-46,Чолла-Намдо,"провинция
",,
KR-47,Кёнсан-Пукто,"провинция
",,
KR-48,Кёнсан-Намдо,"провинция
",,
KR-49,Чеджудо,"провинция
",,
