,
首爾特別市,"서울특별시 
","Seoul Special City 
","特別市
",,
釜山廣域市,"부산광역시 
","Busan Metropolitan City 
","廣域市
",,
大邱廣域市,"대구광역시 
","Daegu Metropolitan City 
","廣域市
",,
仁川廣域市,"인천광역시 
","Incheon Metropolitan City 
","廣域市
",,
光州廣域市,"광주광역시 
","Gwangju Metropolitan City 
","廣域市
",,
大田廣域市,"대전광역시 
","Daejeon Metropolitan City 
","廣域市
",,
蔚山廣域市,"울산광역시 
","Ulsan Metropolitan City 
","廣域市
",,
京畿道,"경기도 
","Gyeonggi-do 
","道
",,
江原道,"강원도 
","Gangwon-do 
","道
",,
忠清北道,"충청북도 
","Chungcheongbuk-do 
","道
",,
忠清南道,"충청남도 
","Chungcheongnam-do 
","道
",,
全羅北道,"전라북도 
","Jeollabuk-do 
","道
",,
全羅南道,"전라남도 
","Jeollanam-do 
","道
",,
慶尚北道,"경상북도 
","Gyeongsangbuk-do 
","道
",,
慶尚南道,"경상남도 
","Gyeongsangnam-do 
","道
",,
濟州特別自治道,"제주특별자치도 
","Jeju-teukbyeoljachido 
","特別自治道
",,
世宗特別自治市,"세종특별자치시 
","Sejong 
","特別自治市
",,
代码列表,,數字,,ISO 3166-2:CS,ZW,,ISO 3166-2:CS,,代码列表,,"
a 從TP更改
b 從YU更改
",,
,
ISO 3166-2:CS,ZW,,ISO 3166-2:CS,,
