"US-AL
"," アラバマ州
"
"US-AK
"," アラスカ州
"
"US-AZ
"," アリゾナ州
"
"US-AR
"," アーカンソー州
"
"US-CA
"," カリフォルニア州
"
"US-CO
"," コロラド州
"
"US-CT
"," コネチカット州
"
"US-DE
"," デラウェア州
"
"US-FL
"," フロリダ州
"
"US-GA
"," ジョージア州
"
"US-HI
"," ハワイ州
"
"US-ID
"," アイダホ州
"
"US-IL
"," イリノイ州
"
"US-IN
"," インディアナ州
"
"US-IA
"," アイオワ州
"
"US-KS
"," カンザス州
"
"US-KY
"," ケンタッキー州
"
"US-LA
"," ルイジアナ州
"
"US-ME
"," メイン州
"
"US-MD
"," メリーランド州
"
"US-MA
"," マサチューセッツ州
"
"US-MI
"," ミシガン州
"
"US-MN
"," ミネソタ州
"
"US-MS
"," ミシシッピ州
"
"US-MO
"," ミズーリ州
"
"US-MT
"," モンタナ州
"
"US-NE
"," ネブラスカ州
"
"US-NV
"," ネバダ州
"
"US-NH
"," ニューハンプシャー州
"
"US-NJ
"," ニュージャージー州
"
"US-NM
"," ニューメキシコ州
"
"US-NY
"," ニューヨーク州
"
"US-NC
"," ノースカロライナ州
"
"US-ND
"," ノースダコタ州
"
"US-OH
"," オハイオ州
"
"US-OK
"," オクラホマ州
"
"US-OR
"," オレゴン州
"
"US-PA
"," ペンシルベニア州
"
"US-RI
"," ロードアイランド州
"
"US-SC
"," サウスカロライナ州
"
"US-SD
"," サウスダコタ州
"
"US-TN
"," テネシー州
"
"US-TX
"," テキサス州
"
"US-UT
"," ユタ州
"
"US-VT
"," バーモント州
"
"US-VA
"," バージニア州
"
"US-WA
"," ワシントン州
"
"US-WV
"," ウェストバージニア州
"
"US-WI
"," ウィスコンシン州
"
"US-WY
"," ワイオミング州
"
,
"US-DC
"," ワシントンD.C.
"
,
"US-AS
"," アメリカ領サモア
"
"US-GU
"," グアム
"
"US-MP
"," 北マリアナ諸島
"
"US-PR
"," プエルトリコ
"
"US-UM
"," 合衆国領有小離島
"
"US-VI
"," アメリカ領ヴァージン諸島
"
