 アイスランド,"IS
"
 アイルランド,"IE
"
 アゼルバイジャン,"AZ
"
 アフガニスタン,"AF
"
 アメリカ合衆国,"US
"
 アメリカ領ヴァージン諸島,"VI
"
 アメリカ領サモア,"AS
"
 アラブ首長国連邦,"AE
"
 アルジェリア,"DZ
"
 アルゼンチン,"AR
"
 アルバ,"AW
"
 アルバニア,"AL
"
 アルメニア,"AM
"
 アンギラ,"AI
"
 アンゴラ,"AO
"
 アンティグア・バーブーダ,"AG
"
 アンドラ,"AD
"
 イエメン,"YE
"
 イギリス,"GB
"
 イギリス領インド洋地域,"IO
"
 イギリス領ヴァージン諸島,"VG
"
 イスラエル,"IL
"
 イタリア,"IT
"
 イラク,"IQ
"
 イラン・イスラム共和国,"IR
"
 インド,"IN
"
 インドネシア,"ID
"
 ウォリス・フツナ,"WF
"
 ウガンダ,"UG
"
 ウクライナ,"UA
"
 ウズベキスタン,"UZ
"
 ウルグアイ,"UY
"
 エクアドル,"EC
"
 エジプト,"EG
"
 エストニア,"EE
"
 エスワティニ,"SZ
"
 エチオピア,"ET
"
 エリトリア,"ER
"
 エルサルバドル,"SV
"
 オーストラリア,"AU
"
 オーストリア,"AT
"
 オーランド諸島,"AX
"
 オマーン,"OM
"
 オランダ,"NL
"
 ガーナ,"GH
"
 カーボベルデ,"CV
"
 ガーンジー,"GG
"
 ガイアナ,"GY
"
 カザフスタン,"KZ
"
 カタール,"QA
"
 合衆国領有小離島,"UM
"
 カナダ,"CA
"
 ガボン,"GA
"
 カメルーン,"CM
"
 ガンビア,"GM
"
 カンボジア,"KH
"
 北マケドニア,"MK
"
 北マリアナ諸島,"MP
"
 ギニア,"GN
"
 ギニアビサウ,"GW
"
 キプロス,"CY
"
 キューバ,"CU
"
 キュラソー,"CW
"
 ギリシャ,"GR
"
 キリバス,"KI
"
 キルギス,"KG
"
 グアテマラ,"GT
"
 グアドループ,"GP
"
 グアム,"GU
"
 クウェート,"KW
"
 クック諸島,"CK
"
 グリーンランド,"GL
"
 クリスマス島,"CX
"
 グレナダ,"GD
"
 クロアチア,"HR
"
 ケイマン諸島,"KY
"
 ケニア,"KE
"
 コートジボワール,"CI
"
 ココス（キーリング）諸島,"CC
"
 コスタリカ,"CR
"
 コモロ,"KM
"
 コロンビア,"CO
"
 コンゴ共和国,"CG
"
 コンゴ民主共和国,"CD
"
 サウジアラビア,"SA
"
 サウスジョージア・サウスサンドウィッチ諸島,"GS
"
 サモア,"WS
"
 サントメ・プリンシペ,"ST
"
 サン・バルテルミー,"BL
"
 ザンビア,"ZM
"
 サンピエール島・ミクロン島,"PM
"
 サンマリノ,"SM
"
 サン・マルタン（フランス領）,"MF
"
 シエラレオネ,"SL
"
 ジブチ,"DJ
"
 ジブラルタル,"GI
"
 ジャージー,"JE
"
 ジャマイカ,"JM
"
 ジョージア,"GE
"
 シリア・アラブ共和国,"SY
"
 シンガポール,"SG
"
 シント・マールテン（オランダ領）,"SX
"
 ジンバブエ,"ZW
"
 スイス,"CH
"
 スウェーデン,"SE
"
 スーダン,"SD
"
 スヴァールバル諸島およびヤンマイエン島,"SJ
"
 スペイン,"ES
"
 スリナム,"SR
"
 スリランカ,"LK
"
 スロバキア,"SK
"
 スロベニア,"SI
"
 セーシェル,"SC
"
 赤道ギニア,"GQ
"
 セネガル,"SN
"
 セルビア,"RS
"
 セントクリストファー・ネイビス,"KN
"
 セントビンセントおよびグレナディーン諸島,"VC
"
 セントヘレナ・アセンションおよびトリスタンダクーニャ,"SH
"
 セントルシア,"LC
"
 ソマリア,"SO
"
 ソロモン諸島,"SB
"
"た
",
 タークス・カイコス諸島,"TC
"
 タイ,"TH
"
 大韓民国,"KR
"
 台湾（中華民国）,"TW
"
 タジキスタン,"TJ
"
 タンザニア,"TZ
"
 チェコ,"CZ
"
 チャド,"TD
"
 中央アフリカ共和国,"CF
"
 中華人民共和国,"CN
"
 チュニジア,"TN
"
 朝鮮民主主義人民共和国,"KP
"
 チリ,"CL
"
 ツバル,"TV
"
 デンマーク,"DK
"
 ドイツ,"DE
"
 トーゴ,"TG
"
 トケラウ,"TK
"
 ドミニカ共和国,"DO
"
 ドミニカ国,"DM
"
 トリニダード・トバゴ,"TT
"
 トルクメニスタン,"TM
"
 トルコ,"TR
"
 トンガ,"TO
"
 ナイジェリア,"NG
"
 ナウル,"NR
"
 ナミビア,"NA
"
 南極,"AQ
"
 ニウエ,"NU
"
 ニカラグア,"NI
"
 ニジェール,"NE
"
 日本,"JP
"
 西サハラ,"EH
"
 ニューカレドニア,"NC
"
 ニュージーランド,"NZ
"
 ネパール,"NP
"
 ノーフォーク島,"NF
"
 ノルウェー,"NO
"
 ハード島とマクドナルド諸島,"HM
"
 バーレーン,"BH
"
 ハイチ,"HT
"
 パキスタン,"PK
"
 バチカン市国,"VA
"
 パナマ,"PA
"
 バヌアツ,"VU
"
 バハマ,"BS
"
 パプアニューギニア,"PG
"
 バミューダ,"BM
"
 パラオ,"PW
"
 パラグアイ,"PY
"
 バルバドス,"BB
"
 パレスチナ,"PS
"
 ハンガリー,"HU
"
 バングラデシュ,"BD
"
 東ティモール,"TL
"
 ピトケアン,"PN
"
 フィジー,"FJ
"
 フィリピン,"PH
"
 フィンランド,"FI
"
 ブータン,"BT
"
 ブーベ島,"BV
"
 プエルトリコ,"PR
"
 フェロー諸島,"FO
"
 フォークランド（マルビナス）諸島,"FK
"
 ブラジル,"BR
"
 フランス,"FR
"
 フランス領ギアナ,"GF
"
 フランス領ポリネシア,"PF
"
 フランス領南方・南極地域,"TF
"
 ブルガリア,"BG
"
 ブルキナファソ,"BF
"
 ブルネイ・ダルサラーム,"BN
"
 ブルンジ,"BI
"
 ベトナム,"VN
"
 ベナン,"BJ
"
 ベネズエラ・ボリバル共和国,"VE
"
 ベラルーシ,"BY
"
 ベリーズ,"BZ
"
 ペルー,"PE
"
 ベルギー,"BE
"
 ポーランド,"PL
"
 ボスニア・ヘルツェゴビナ,"BA
"
 ボツワナ,"BW
"
 ボネール、シント・ユースタティウスおよびサバ,"BQ
"
 ボリビア多民族国,"BO
"
 ポルトガル,"PT
"
 香港,"HK
"
 ホンジュラス,"HN
"
 マーシャル諸島,"MH
"
 マカオ,"MO
"
 マダガスカル,"MG
"
 マヨット,"YT
"
 マラウイ,"MW
"
 マリ,"ML
"
 マルタ,"MT
"
 マルティニーク,"MQ
"
 マレーシア,"MY
"
 マン島,"IM
"
 ミクロネシア連邦,"FM
"
 南アフリカ,"ZA
"
 南スーダン,"SS
"
 ミャンマー,"MM
"
 メキシコ,"MX
"
 モーリシャス,"MU
"
 モーリタニア,"MR
"
 モザンビーク,"MZ
"
 モナコ,"MC
"
 モルディブ,"MV
"
 モルドバ共和国,"MD
"
 モロッコ,"MA
"
 モンゴル,"MN
"
 モンテネグロ,"ME
"
 モントセラト,"MS
"
 ヨルダン,"JO
"
 ラオス人民民主共和国,"LA
"
 ラトビア,"LV
"
 リトアニア,"LT
"
 リビア,"LY
"
 リヒテンシュタイン,"LI
"
 リベリア,"LR
"
 ルーマニア,"RO
"
 ルクセンブルク,"LU
"
 ルワンダ,"RW
"
 レソト,"LS
"
 レバノン,"LB
"
 レユニオン,"RE
"
 ロシア連邦,"RU
"
,
,
