AF, 阿富汗
AX, 奥兰
AL, 阿尔巴尼亚
DZ, 阿尔及利亚
AS, 美属萨摩亚
AD, 安道尔
AO, 安哥拉
AI, 安圭拉
AQ, 南极洲
AG, 安地卡及巴布達
AR, 阿根廷
AM, 亞美尼亞
AW, 阿鲁巴
AU, 澳大利亞
AT, 奥地利
AZ, 阿塞拜疆
BS, 巴哈马
BH, 巴林
BD, 孟加拉国
BB, 巴巴多斯
BY, 白俄羅斯
BE, 比利時
BZ, 伯利兹
BJ, 贝宁
BM, 百慕大
BT, 不丹
BO, 玻利维亚
BQ, 荷蘭加勒比區
BA, 波黑
BW, 博茨瓦纳
BV, 布韦岛
BR, 巴西
IO, 英屬印度洋領地
BN, 文莱
BG, 保加利亚
BF, 布吉納法索
BI, 布隆迪
CV, 佛得角
KH, 柬埔寨
CM, 喀麦隆
CA, 加拿大
KY, 开曼群岛
CF, 中非
TD, 乍得
CL, 智利
CN, 中国
CX, 圣诞岛
CC, 科科斯（基林）群島
CO, 哥伦比亚
KM, 科摩罗
CG, 刚果共和国
CD, 刚果民主共和国
CK, 庫克群島
CR, 哥斯达黎加
CI, 科特迪瓦
HR, 克罗地亚
CU, 古巴
CW, 库拉索
CY, 賽普勒斯
CZ, 捷克
DK, 丹麥
DJ, 吉布提
DM, 多米尼克
DO, 多米尼加
EC, 厄瓜多尔
EG, 埃及
SV, 薩爾瓦多
GQ, 赤道几内亚
ER, 厄立特里亚
EE, 爱沙尼亚
SZ, 斯威士兰
ET, 衣索比亞
FK, 福克蘭群島
FO, 法罗群岛
FJ, 斐济
FI, 芬兰
FR, 法國
GF, 法属圭亚那
PF, 法屬玻里尼西亞
TF, 法属南部和南极领地
GA, 加彭
GM, 冈比亚
GE, 格鲁吉亚
DE, 德國
GH, 加纳
GI, 直布罗陀
GR, 希臘
GL, 格陵兰
GD, 格瑞那達
GP, 瓜德罗普
GU, 關島
GT, 危地马拉
GG, 根西
GN, 几内亚
GW, 几内亚比绍
GY, 圭亚那
HT, 海地
HM, 赫德岛和麦克唐纳群岛
VA, 梵蒂冈
HN, 洪都拉斯
HK, 香港
HU, 匈牙利
IS, 冰島
IN, 印度
ID, 印度尼西亞
IR, 伊朗
IQ, 伊拉克
IE, 爱尔兰
IM, 马恩岛
IL, 以色列
IT, 義大利
JM, 牙买加
JP, 日本
JE, 澤西
JO, 约旦
KZ, 哈萨克斯坦
KE, 肯尼亚
KI, 基里巴斯
KP, 朝鲜
KR, 韩国
KW, 科威特
KG, 吉尔吉斯斯坦
LA, 老挝
LV, 拉脫維亞
LB, 黎巴嫩
LS, 賴索托
LR, 利比里亚
LY, 利比亞
LI, 列支敦斯登
LT, 立陶宛
LU, 盧森堡
MO, 澳門
MG, 马达加斯加
MW, 马拉维
MY, 马来西亚
MV, 馬爾地夫
ML, 马里
MT, 馬爾他
MH, 马绍尔群岛
MQ, 马提尼克
MR, 毛里塔尼亚
MU, 模里西斯
YT, 马约特
MX, 墨西哥
FM, 密克羅尼西亞聯邦
MD, 摩尔多瓦
MC, 摩納哥
MN, 蒙古
ME, 蒙特內哥羅
MS, 蒙特塞拉特
MA, 摩洛哥
MZ, 莫桑比克
MM, 緬甸
NA, 纳米比亚
NR, 瑙鲁
NP, 尼泊尔
NL, 荷蘭
NC, 新喀里多尼亞
NZ, 新西蘭
NI, 尼加拉瓜
NE, 尼日尔
NG, 奈及利亞
NU, 纽埃
NF, 诺福克岛
MK, 北馬其頓
MP, 北马里亚纳群岛
NO, 挪威
OM, 阿曼
PK, 巴基斯坦
PW, 帛琉
PS, 巴勒斯坦
PA, 巴拿马
PG, 巴布亚新几内亚
PY, 巴拉圭
PE, 秘魯
PH, 菲律賓
PN, 皮特凯恩群岛
PL, 波蘭
PT, 葡萄牙
PR, 波多黎各
QA, 卡塔尔
RE, 留尼汪
RO, 羅馬尼亞
RU, 俄羅斯
RW, 卢旺达
BL, 圣巴泰勒米
SH, 圣赫勒拿、阿森松和特里斯坦-达库尼亚
KN, 圣基茨和尼维斯
LC, 圣卢西亚
MF, 法属圣马丁
PM, 圣皮埃尔和密克隆
VC, 圣文森特和格林纳丁斯
WS, 萨摩亚
SM, 圣马力诺
ST, 聖多美和普林西比
SA, 沙烏地阿拉伯
SN, 塞内加尔
RS, 塞爾維亞
SC, 塞舌尔
SL, 塞拉利昂
SG, 新加坡
SX, 荷屬聖馬丁
SK, 斯洛伐克
SI, 斯洛維尼亞
SB, 所罗门群岛
SO, 索马里
ZA, 南非
GS, 南乔治亚和南桑威奇群岛
SS, 南蘇丹
ES, 西班牙
LK, 斯里蘭卡
SD, 苏丹
SR, 苏里南
SJ, 斯瓦尔巴和扬马延
SE, 瑞典
CH, 瑞士
SY, 叙利亚
TW, 中国台湾省
TJ, 塔吉克斯坦
TZ, 坦桑尼亚
TH, 泰國
TL, 东帝汶
TG, 多哥
TK, 托克勞
TO, 汤加
TT, 千里達及托巴哥
TN, 突尼西亞
TR, 土耳其
TM, 土库曼斯坦
TC, 特克斯和凯科斯群岛
TV, 图瓦卢
UG, 乌干达
UA, 烏克蘭
AE, 阿联酋
GB, 英国
US, 美國
UM, 美國本土外小島嶼
UY, 乌拉圭
UZ, 乌兹别克斯坦
VU, 瓦努阿圖
VE, 委內瑞拉
VN, 越南
VG, 英屬維爾京群島
VI, 美屬維爾京群島
WF, 瓦利斯和富图纳
EH, 西撒哈拉
YE, 葉門
ZM, 尚比亞
ZW, 辛巴威
