province,province_code,city,city_code,area,area_code
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bokhyeon 1(il)-dong/복현1동,KR-26-0-0
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bokhyeon 2(i)-dong/복현2동,KR-26-0-1
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bokhyeon-dong/복현동,KR-26-0-2
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bonchon-dong/본촌동,KR-26-0-3
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bukbusanucheguksaseoham/북부산우체국사서함,KR-26-0-4
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bukdaeguucheguksaseoham/북대구우체국사서함,KR-26-0-5
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Buk-dong/북동,KR-26-0-6
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Bukgwangjuucheguksaseoham/북광주우체국사서함,KR-26-0-7
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Changpyeong-dong/창평동,KR-26-0-8
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Cheongok-dong/천곡동,KR-26-0-9
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Cheongpung-dong/청풍동,KR-26-0-10
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chilseongdong 1(il)-ga/칠성동1가,KR-26-0-11
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chilseongdong 2(i)-ga/칠성동2가,KR-26-0-12
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chimsan 1(il)-dong/침산1동,KR-26-0-13
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chimsan 2(i)-dong/침산2동,KR-26-0-14
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chimsan 3(sam)-dong/침산3동,KR-26-0-15
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chimsan-dong/침산동,KR-26-0-16
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Chunghyo-dong/충효동,KR-26-0-17
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Daean-dong/대안동,KR-26-0-18
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Daechon-dong/대촌동,KR-26-0-19
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Daehyeon 1(il)-dong/대현1동,KR-26-0-20
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Daehyeon 2(i)-dong/대현2동,KR-26-0-21
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Daehyeon-dong/대현동,KR-26-0-22
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Dalcheon-dong/달천동,KR-26-0-23
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Dangsa-dong/당사동,KR-26-0-24
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Deogui-dong/덕의동,KR-26-0-25
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Deokcheon 1(il)-dong/덕천1동,KR-26-0-26
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Deokcheon 2(i)-dong/덕천2동,KR-26-0-27
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Deokcheon 3(sam)-dong/덕천3동,KR-26-0-28
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Deokcheon-dong/덕천동,KR-26-0-29
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Donam-dong/도남동,KR-26-0-30
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Dongbyeon-dong/동변동,KR-26-0-31
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Dongcheon-dong/동천동,KR-26-0-32
Busan/부산,KR-26,Buk-gu/북구,KR-26-0,Dongho-dong/동호동,KR-26-0-33
