province,city,link,zip
Agusan del Norte,Buenavista,Abilan,8601
Agusan del Norte,Buenavista,Agong-ong,8601
Agusan del Norte,Buenavista,Agsanayan,5044
Agusan del Norte,Buenavista,Alubijid,8601
Agusan del Norte,Buenavista,Anonang,6333
Agusan del Norte,Buenavista,Asinan,6333
Agusan del Norte,Buenavista,Avila,5044
Agusan del Norte,Buenavista,Bacjao (Calumingan),5044
Agusan del Norte,Buenavista,Bagacay,4904
Agusan del Norte,Buenavista,Bago,6333
Agusan del Norte,Buenavista,Bagong Silang,4320
Agusan del Norte,Buenavista,Bagtingon,4904
Agusan del Norte,Buenavista,Baluarte,6333
Agusan del Norte,Buenavista,Banban,5044
Agusan del Norte,Buenavista,Bantuan,6333
Agusan del Norte,Buenavista,Barangay I (Pob.),4904
Agusan del Norte,Buenavista,Barangay II (Pob.),4904
Agusan del Norte,Buenavista,Barangay III (Pob.),4904
Agusan del Norte,Buenavista,Barangay IV (Pob.),4904
Agusan del Norte,Buenavista,Batabat Norte,4320
Agusan del Norte,Buenavista,Batabat Sur,4320
Agusan del Norte,Buenavista,Bato,6333
Agusan del Norte,Buenavista,Bicas-bicas,4904
Agusan del Norte,Buenavista,Bonotbonot,6333
Agusan del Norte,Buenavista,Buenavista,4320
Agusan del Norte,Buenavista,Bugaong,6333
Agusan del Norte,Buenavista,Bukal,4320
Agusan del Norte,Buenavista,Bulo,4320
Agusan del Norte,Buenavista,Cabong,4320
Agusan del Norte,Buenavista,Cadlit,4320
Agusan del Norte,Buenavista,Caigangan,4904
Agusan del Norte,Buenavista,Cambuhat,6333
Agusan del Norte,Buenavista,Cambus-oc,6333
Agusan del Norte,Buenavista,Cangawa,6333
Agusan del Norte,Buenavista,Cansilayan,5044
Agusan del Norte,Buenavista,Cantomugcad,6333
Agusan del Norte,Buenavista,Cantores,6333
Agusan del Norte,Buenavista,Cantuba,6333
Agusan del Norte,Buenavista,Catigbian,6333
Agusan del Norte,Buenavista,Catulin,4320
Agusan del Norte,Buenavista,Cawa,4320
Agusan del Norte,Buenavista,Cawag,6333
Agusan del Norte,Buenavista,Cruz,6333
Agusan del Norte,Buenavista,Dagsa-an,5044
Agusan del Norte,Buenavista,Dait,6333
Agusan del Norte,Buenavista,Daragan,5044
Agusan del Norte,Buenavista,Daykitin,4904
Agusan del Norte,Buenavista,De la Paz,4320
Agusan del Norte,Buenavista,Del Rosario,4320
Agusan del Norte,Buenavista,East Valencia,5044
Agusan del Norte,Buenavista,Eastern Cabul-an,6333
Agusan del Norte,Buenavista,Getulio,5044
Agusan del Norte,Buenavista,Guinabsan,8601
Agusan del Norte,Buenavista,Hagonghong,4320
Agusan del Norte,Buenavista,Hunan,6333
Agusan del Norte,Buenavista,Ibabang Wasay,4320
Agusan del Norte,Buenavista,Ilayang Wasay,4320
Agusan del Norte,Buenavista,Lapacan Norte,6333
Agusan del Norte,Buenavista,Lapacan Sur,6333
Agusan del Norte,Buenavista,Libas,4904
Agusan del Norte,Buenavista,Lilukin,4320
Agusan del Norte,Buenavista,Lower Olave,8601
Agusan del Norte,Buenavista,Lubang,6333
Agusan del Norte,Buenavista,Lusong (Plateau),6333
Agusan del Norte,Buenavista,Mabini,4320
Agusan del Norte,Buenavista,Mabini,5044
Agusan del Norte,Buenavista,Mabutag,4320
Agusan del Norte,Buenavista,Macalang,8601
Agusan del Norte,Buenavista,Magallanes,4320
Agusan del Norte,Buenavista,Magkaya,6333
Agusan del Norte,Buenavista,Magsaysay,5044
Agusan del Norte,Buenavista,Malapong,8601
Agusan del Norte,Buenavista,Malbog,4904
Agusan del Norte,Buenavista,Maligaya (Esperanza),4320
Agusan del Norte,Buenavista,Malpoc,8601
Agusan del Norte,Buenavista,Manapa,8601
Agusan del Norte,Buenavista,Manlana,4320
Agusan del Norte,Buenavista,Masaya,4320
Agusan del Norte,Buenavista,Matabao,8601
Agusan del Norte,Buenavista,Mclain,5044
Agusan del Norte,Buenavista,Merryland,6333
Agusan del Norte,Buenavista,Montpiller,5044
Agusan del Norte,Buenavista,Navalas,5044
Agusan del Norte,Buenavista,Nazaret,5044
Agusan del Norte,Buenavista,New Poblacion (Calingao),5044
Agusan del Norte,Buenavista,Nueva Granada,6333
Agusan del Norte,Buenavista,Nueva Montana,6333
Agusan del Norte,Buenavista,Old Poblacion,5044
Agusan del Norte,Buenavista,Overland,6333
Agusan del Norte,Buenavista,Panghagban,6333
Agusan del Norte,Buenavista,Pi,5044
Agusan del Norte,Buenavista,Poblacion,4320
Agusan del Norte,Buenavista,Poblacion,6333
Agusan del Norte,Buenavista,Poblacion 1,8601
Agusan del Norte,Buenavista,Poblacion 10,8601
Agusan del Norte,Buenavista,Poblacion 2,8601
Agusan del Norte,Buenavista,Poblacion 3,8601
Agusan del Norte,Buenavista,Poblacion 4,8601
Agusan del Norte,Buenavista,Poblacion 5,8601
Agusan del Norte,Buenavista,Poblacion 6,8601
Agusan del Norte,Buenavista,Poblacion 7,8601
Agusan del Norte,Buenavista,Poblacion 8,8601
Agusan del Norte,Buenavista,Poblacion 9,8601
Agusan del Norte,Buenavista,Puting Bato,6333
Agusan del Norte,Buenavista,Rizal,4320
Agusan del Norte,Buenavista,Rizal,5044
Agusan del Norte,Buenavista,Rizal,8601
Agusan del Norte,Buenavista,Rufo Hill,6333
Agusan del Norte,Buenavista,Sabang Pinamasagan,4320
Agusan del Norte,Buenavista,Sabang Piris,4320
Agusan del Norte,Buenavista,Sacol,8601
Agusan del Norte,Buenavista,Salvacion,5044
Agusan del Norte,Buenavista,San Diego,4320
Agusan del Norte,Buenavista,San Fernando,5044
Agusan del Norte,Buenavista,San Isidro,5044
Agusan del Norte,Buenavista,San Isidro Ibaba,4320
Agusan del Norte,Buenavista,San Isidro Ilaya,4320
Agusan del Norte,Buenavista,San Miguel,5044
Agusan del Norte,Buenavista,San Nicolas,5044
Agusan del Norte,Buenavista,San Pablo,4320
Agusan del Norte,Buenavista,San Pedro,5044
Agusan del Norte,Buenavista,San Pedro (Villa Rodrigo),4320
Agusan del Norte,Buenavista,San Roque,5044
Agusan del Norte,Buenavista,San Vicente,4320
Agusan del Norte,Buenavista,Sangay,8601
Agusan del Norte,Buenavista,Santo Rosario,5044
Agusan del Norte,Buenavista,Sawang,5044
Agusan del Norte,Buenavista,Siain,4320
Agusan del Norte,Buenavista,Sihi,4904
Agusan del Norte,Buenavista,Simbalan,8601
Agusan del Norte,Buenavista,Supang,5044
Agusan del Norte,Buenavista,Sweetland,6333
Agusan del Norte,Buenavista,Tacay,5044
Agusan del Norte,Buenavista,Talo-ao,8601
Agusan del Norte,Buenavista,Taminla,5044
Agusan del Norte,Buenavista,Tanag,5044
Agusan del Norte,Buenavista,Tastasan,5044
Agusan del Norte,Buenavista,Timbo (Sanggulong),4904
Agusan del Norte,Buenavista,Tinadtaran,5044
Agusan del Norte,Buenavista,Tungib-Lipata,4904
Agusan del Norte,Buenavista,Umilig,5044
Agusan del Norte,Buenavista,Villa Aurora,4320
Agusan del Norte,Buenavista,Villa Batabat,4320
Agusan del Norte,Buenavista,Villa Magsaysay,4320
Agusan del Norte,Buenavista,Villa Veronica,4320
Agusan del Norte,Buenavista,Western Cabul-an,6333
Agusan del Norte,Buenavista,Yook,4904
Agusan del Norte,Buenavista,Zaldivar,5044
Agusan del Norte,Butuan City,Agao Pob. (Bgy. 3),8600
Agusan del Norte,Butuan City,Agusan Peque,8600
Agusan del Norte,Butuan City,Ambago,8600
Agusan del Norte,Butuan City,Amparo,8600
Agusan del Norte,Butuan City,Ampayon,8600
Agusan del Norte,Butuan City,Anticala,8600
Agusan del Norte,Butuan City,Antongalon,8600
Agusan del Norte,Butuan City,Aupagan,8600
Agusan del Norte,Butuan City,Baan KM 3,8600
Agusan del Norte,Butuan City,Baan Riverside Pob. (Bgy. 20),8600
Agusan del Norte,Butuan City,Babag,8600
Agusan del Norte,Butuan City,Bading Pob. (Bgy. 22),8600
Agusan del Norte,Butuan City,Bancasi,8600
Agusan del Norte,Butuan City,Banza,8600
Agusan del Norte,Butuan City,Baobaoan,8600
Agusan del Norte,Butuan City,Basag,8600
Agusan del Norte,Butuan City,Bayanihan Pob. (Bgy. 27),8600
Agusan del Norte,Butuan City,Bilay,8600
Agusan del Norte,Butuan City,Bitan-agan,8600
Agusan del Norte,Butuan City,Bit-os,8600
Agusan del Norte,Butuan City,Bobon,8600
Agusan del Norte,Butuan City,Bonbon,8600
Agusan del Norte,Butuan City,Bugabus,8600
Agusan del Norte,Butuan City,Bugsukan,8600
Agusan del Norte,Butuan City,Buhangin Pob. (Bgy. 19),8600
Agusan del Norte,Butuan City,Cabcabon,8600
Agusan del Norte,Butuan City,Camayahan,8600
Agusan del Norte,Butuan City,Dagohoy Pob. (Bgy. 7),8600
Agusan del Norte,Butuan City,Dankias,8600
Agusan del Norte,Butuan City,De Oro,8600
Agusan del Norte,Butuan City,Diego Silang Pob. (Bgy. 6),8600
Agusan del Norte,Butuan City,Don Francisco,8600
Agusan del Norte,Butuan City,Doongan,8600
Agusan del Norte,Butuan City,Dulag,8600
Agusan del Norte,Butuan City,Dumalagan,8600
Agusan del Norte,Butuan City,Florida,8600
Agusan del Norte,Butuan City,Golden Ribbon Pob. (Bgy. 2),8600
Agusan del Norte,Butuan City,Holy Redeemer Pob. (Bgy. 23),8600
Agusan del Norte,Butuan City,Humabon Pob. (Bgy. 11),8600
Agusan del Norte,Butuan City,Imadejas Pob. (Bgy. 24),8600
Agusan del Norte,Butuan City,Jose Rizal Pob. (Bgy. 25),8600
Agusan del Norte,Butuan City,Kinamlutan,8600
Agusan del Norte,Butuan City,Lapu-lapu Pob. (Bgy. 8),8600
Agusan del Norte,Butuan City,Lemon,8600
Agusan del Norte,Butuan City,Leon Kilat Pob. (Bgy. 13),8600
Agusan del Norte,Butuan City,Libertad,8600
Agusan del Norte,Butuan City,Limaha Pob. (Bgy. 14),8600
Agusan del Norte,Butuan City,Los Angeles,8600
Agusan del Norte,Butuan City,Lumbocan,8600
Agusan del Norte,Butuan City,Maguinda,8600
Agusan del Norte,Butuan City,Mahay,8600
Agusan del Norte,Butuan City,Mahogany Pob. (Bgy. 21),8600
Agusan del Norte,Butuan City,Maibu,8600
Agusan del Norte,Butuan City,Mandamo,8600
Agusan del Norte,Butuan City,Manila de Bugabus,8600
Agusan del Norte,Butuan City,Maon Pob. (Bgy. 1),8600
Agusan del Norte,Butuan City,Masao,8600
Agusan del Norte,Butuan City,Maug,8600
