province,city,link
Zamboanga Sibugay,Ipil,/zh-hans/region3/ipilzamboanga-sibugay7001
Zamboanga Sibugay,Roseller Lim,/zh-hans/region3/roseller-limzamboanga-sibugay7002
Zamboanga Sibugay,Titay,/zh-hans/region3/titayzamboanga-sibugay7003
Zamboanga Sibugay,Naga,/zh-hans/region3/nagazamboanga-sibugay7004
Zamboanga Sibugay,Kabasalan,/zh-hans/region3/kabasalanzamboanga-sibugay7005
Zamboanga Sibugay,Siay,/zh-hans/region3/siayzamboanga-sibugay7006
Zamboanga Sibugay,Imelda,/zh-hans/region3/imeldazamboanga-sibugay7007
Zamboanga Sibugay,Payao,/zh-hans/region3/payaozamboanga-sibugay7008
Zamboanga Sibugay,Buug,/zh-hans/region3/buugzamboanga-sibugay7009
Zamboanga Sibugay,Mabuhay,/zh-hans/region3/mabuhayzamboanga-sibugay7010
Zamboanga Sibugay,Talusan,/zh-hans/region3/talusanzamboanga-sibugay7012
Zamboanga Sibugay,Tungawan,/zh-hans/region3/tungawanzamboanga-sibugay7018
Zamboanga Sibugay,Malangas,/zh-hans/region3/malangaszamboanga-sibugay7038
Zamboanga Sibugay,Diplahan,/zh-hans/region3/diplahanzamboanga-sibugay7039
Zamboanga Sibugay,Alicia,/zh-hans/region3/aliciazamboanga-sibugay7040
Zamboanga Sibugay,Olutanga,/zh-hans/region3/olutangazamboanga-sibugay7041
Zambales,Olongapo City,/zh-hans/region3/olongapo-cityzambales2200
Zambales,Iba,/zh-hans/region3/ibazambales2201
Zambales,Botolan,/zh-hans/region3/botolanzambales2202
Zambales,Cabangan,/zh-hans/region3/cabanganzambales2203
Zambales,San Felipe,/zh-hans/region3/san-felipezambales2204
Zambales,San Narciso,/zh-hans/region3/san-narcisozambales2205
Zambales,San Antonio,/zh-hans/region3/san-antoniozambales2206
Zambales,San Marcelino,/zh-hans/region3/san-marcelinozambales2207
Zambales,Castillejos,/zh-hans/region3/castillejoszambales2208
Zambales,Subic,/zh-hans/region3/subiczambales2209
Zambales,Palauig,/zh-hans/region3/palauigzambales2210
Zambales,Masinloc,/zh-hans/region3/masinloczambales2211
Zambales,Candelaria,/zh-hans/region3/candelariazambales2212
Zambales,Santa Cruz,/zh-hans/region3/santa-cruzzambales2213
Ilocos Sur,Vigan City,/zh-hans/region3/vigan-cityilocos-sur2700
Ilocos Sur,Santa Catalina,/zh-hans/region3/santa-catalinailocos-sur2701
Ilocos Sur,Caoayan,/zh-hans/region3/caoayanilocos-sur2702
Ilocos Sur,Santa,/zh-hans/region3/santailocos-sur2703
Ilocos Sur,Narvacan,/zh-hans/region3/narvacanilocos-sur2704
Ilocos Sur,Santa Maria,/zh-hans/region3/santa-mariailocos-sur2705
Ilocos Sur,San Esteban,/zh-hans/region3/san-estebanilocos-sur2706
Ilocos Sur,Santiago,/zh-hans/region3/santiagoilocos-sur2707
Ilocos Sur,Banayoyo,/zh-hans/region3/banayoyoilocos-sur2708
Ilocos Sur,Galimuyod,/zh-hans/region3/galimuyodilocos-sur2709
Ilocos Sur,Candon City,/zh-hans/region3/candon-cityilocos-sur2710
Ilocos Sur,Salcedo (Baugen),/zh-hans/region3/salcedo-baugenilocos-sur2711
Ilocos Sur,Santa Lucia,/zh-hans/region3/santa-luciailocos-sur2712
Ilocos Sur,Santa Cruz,/zh-hans/region3/santa-cruzilocos-sur2713
Ilocos Sur,Tagudin,/zh-hans/region3/tagudinilocos-sur2714
Ilocos Sur,Suyo,/zh-hans/region3/suyoilocos-sur2715
Ilocos Sur,Alilem,/zh-hans/region3/alilemilocos-sur2716
Ilocos Sur,Sugpon,/zh-hans/region3/sugponilocos-sur2717
Ilocos Sur,Cervantes,/zh-hans/region3/cervantesilocos-sur2718
Ilocos Sur,Sigay,/zh-hans/region3/sigayilocos-sur2719
Misamis Occidental,Don Victoriano Chiongbian,/zh-hans/region3/don-victoriano-chiongbianmisamis-occidental7200
Misamis Occidental,Ozamis City,/zh-hans/region3/ozamis-citymisamis-occidental7200
Misamis Occidental,Clarin,/zh-hans/region3/clarinmisamis-occidental7201
Misamis Occidental,Tudela,/zh-hans/region3/tudelamisamis-occidental7202
Misamis Occidental,Sinacaban,/zh-hans/region3/sinacabanmisamis-occidental7203
Misamis Occidental,Jimenez,/zh-hans/region3/jimenezmisamis-occidental7204
Misamis Occidental,Panaon,/zh-hans/region3/panaonmisamis-occidental7205
Misamis Occidental,Aloran,/zh-hans/region3/aloranmisamis-occidental7206
Misamis Occidental,Oroquieta City,/zh-hans/region3/oroquieta-citymisamis-occidental7207
Misamis Occidental,Lopez Jaena,/zh-hans/region3/lopez-jaenamisamis-occidental7208
Misamis Occidental,Plaridel,/zh-hans/region3/plaridelmisamis-occidental7209
Misamis Occidental,Calamba,/zh-hans/region3/calambamisamis-occidental7210
Misamis Occidental,Baliangao,/zh-hans/region3/baliangaomisamis-occidental7211
Misamis Occidental,Sapang Dalaga,/zh-hans/region3/sapang-dalagamisamis-occidental7212
Misamis Occidental,Concepcion,/zh-hans/region3/concepcionmisamis-occidental7213
Misamis Occidental,Tangub City,/zh-hans/region3/tangub-citymisamis-occidental7214
Misamis Occidental,Bonifacio,/zh-hans/region3/bonifaciomisamis-occidental7215
Ilocos Norte,Laoag City,/zh-hans/region3/laoag-cityilocos-norte2900
Ilocos Norte,San Nicolas,/zh-hans/region3/san-nicolasilocos-norte2901
Ilocos Norte,Paoay,/zh-hans/region3/paoayilocos-norte2902
Ilocos Norte,Currimao,/zh-hans/region3/currimaoilocos-norte2903
Ilocos Norte,Badoc,/zh-hans/region3/badocilocos-norte2904
Ilocos Norte,Pinili,/zh-hans/region3/piniliilocos-norte2905
Ilocos Norte,Batac City,/zh-hans/region3/batac-cityilocos-norte2906
Ilocos Norte,Marcos,/zh-hans/region3/marcosilocos-norte2907
Ilocos Norte,Banna (Espiritu),/zh-hans/region3/banna-espirituilocos-norte2908
Ilocos Norte,Nueva Era,/zh-hans/region3/nueva-erailocos-norte2909
Ilocos Norte,Solsona,/zh-hans/region3/solsonailocos-norte2910
Ilocos Norte,Carasi,/zh-hans/region3/carasiilocos-norte2911
Ilocos Norte,Piddig,/zh-hans/region3/piddigilocos-norte2912
Ilocos Norte,Dingras,/zh-hans/region3/dingrasilocos-norte2913
Ilocos Norte,Sarrat,/zh-hans/region3/sarratilocos-norte2914
Ilocos Norte,Vintar,/zh-hans/region3/vintarilocos-norte2915
Ilocos Norte,Bacarra,/zh-hans/region3/bacarrailocos-norte2916
Ilocos Norte,Pasuquin,/zh-hans/region3/pasuquinilocos-norte2917
Ilocos Norte,Burgos,/zh-hans/region3/burgosilocos-norte2918
Ilocos Norte,Pagudpud,/zh-hans/region3/pagudpudilocos-norte2919
Aurora,Baler,/zh-hans/region3/baleraurora3200
Aurora,San Luis,/zh-hans/region3/san-luisaurora3201
Aurora,Maria Aurora,/zh-hans/region3/maria-auroraaurora3202
Aurora,Dipaculao,/zh-hans/region3/dipaculaoaurora3203
Aurora,Casiguran,/zh-hans/region3/casiguranaurora3204
Aurora,Dilasag,/zh-hans/region3/dilasagaurora3205
Aurora,Dinalungan,/zh-hans/region3/dinalunganaurora3206
Aurora,Dingalan,/zh-hans/region3/dingalanaurora3207
Palawan,Puerto Princesa City,/zh-hans/region3/puerto-princesa-citypalawan5300
Palawan,Rizal (Marcos),/zh-hans/region3/rizal-marcospalawan5300
