province,province_code,city,city_code,area,area_code,zip
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Abilan,PH-AGN-0-0,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Agong-ong,PH-AGN-0-1,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Agsanayan,PH-AGN-0-2,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Alubijid,PH-AGN-0-3,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Anonang,PH-AGN-0-4,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Asinan,PH-AGN-0-5,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Avila,PH-AGN-0-6,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bacjao (Calumingan),PH-AGN-0-7,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bagacay,PH-AGN-0-8,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bago,PH-AGN-0-9,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bagong Silang,PH-AGN-0-10,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bagtingon,PH-AGN-0-11,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Baluarte,PH-AGN-0-12,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Banban,PH-AGN-0-13,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bantuan,PH-AGN-0-14,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Barangay I (Pob.),PH-AGN-0-15,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Barangay II (Pob.),PH-AGN-0-16,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Barangay III (Pob.),PH-AGN-0-17,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Barangay IV (Pob.),PH-AGN-0-18,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Batabat Norte,PH-AGN-0-19,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Batabat Sur,PH-AGN-0-20,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bato,PH-AGN-0-21,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bicas-bicas,PH-AGN-0-22,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bonotbonot,PH-AGN-0-23,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Buenavista,PH-AGN-0-24,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bugaong,PH-AGN-0-25,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bukal,PH-AGN-0-26,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Bulo,PH-AGN-0-27,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cabong,PH-AGN-0-28,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cadlit,PH-AGN-0-29,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Caigangan,PH-AGN-0-30,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cambuhat,PH-AGN-0-31,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cambus-oc,PH-AGN-0-32,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cangawa,PH-AGN-0-33,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cansilayan,PH-AGN-0-34,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cantomugcad,PH-AGN-0-35,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cantores,PH-AGN-0-36,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cantuba,PH-AGN-0-37,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Catigbian,PH-AGN-0-38,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Catulin,PH-AGN-0-39,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cawa,PH-AGN-0-40,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cawag,PH-AGN-0-41,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Cruz,PH-AGN-0-42,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Dagsa-an,PH-AGN-0-43,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Dait,PH-AGN-0-44,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Daragan,PH-AGN-0-45,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Daykitin,PH-AGN-0-46,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,De la Paz,PH-AGN-0-47,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Del Rosario,PH-AGN-0-48,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,East Valencia,PH-AGN-0-49,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Eastern Cabul-an,PH-AGN-0-50,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Getulio,PH-AGN-0-51,5044
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Guinabsan,PH-AGN-0-52,8601
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Hagonghong,PH-AGN-0-53,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Hunan,PH-AGN-0-54,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Ibabang Wasay,PH-AGN-0-55,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Ilayang Wasay,PH-AGN-0-56,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lapacan Norte,PH-AGN-0-57,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lapacan Sur,PH-AGN-0-58,6333
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Libas,PH-AGN-0-59,4904
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lilukin,PH-AGN-0-60,4320
Agusan del Norte,PH-AGN,Buenavista,PH-AGN-0,Lower Olave,PH-AGN-0-61,8601
