state,country,city,zip
AK,Aleutians East Borough,AKUTAN,99553
AK,Aleutians East Borough,COLD BAY,99571
AK,Aleutians East Borough,FALSE PASS,99583
AK,Aleutians East Borough,KING COVE,99612
AK,Aleutians East Borough,SAND POINT,99661
AK,Aleutians East Borough,SOLDOTNA,99669
AK,Aleutians West Census Area,ADAK,99546
AK,Aleutians West Census Area,ATKA,99547
AK,Aleutians West Census Area,DUTCH HARBOR,99692
AK,Aleutians West Census Area,NIKOLSKI,99638
AK,Aleutians West Census Area,SAINT GEORGE ISLAND,99591
AK,Aleutians West Census Area,SAINT PAUL ISLAND,99660
AK,Aleutians West Census Area,UNALASKA,99685
AK,Anchorage Municipality,ANCHORAGE,99501
AK,Anchorage Municipality,ANCHORAGE,99502
AK,Anchorage Municipality,ANCHORAGE,99503
AK,Anchorage Municipality,ANCHORAGE,99504
AK,Anchorage Municipality,ANCHORAGE,99507
AK,Anchorage Municipality,ANCHORAGE,99508
AK,Anchorage Municipality,ANCHORAGE,99509
AK,Anchorage Municipality,ANCHORAGE,99510
AK,Anchorage Municipality,ANCHORAGE,99511
AK,Anchorage Municipality,ANCHORAGE,99513
AK,Anchorage Municipality,ANCHORAGE,99514
AK,Anchorage Municipality,ANCHORAGE,99515
AK,Anchorage Municipality,ANCHORAGE,99516
AK,Anchorage Municipality,ANCHORAGE,99517
AK,Anchorage Municipality,ANCHORAGE,99518
AK,Anchorage Municipality,ANCHORAGE,99519
AK,Anchorage Municipality,ANCHORAGE,99520
AK,Anchorage Municipality,ANCHORAGE,99521
AK,Anchorage Municipality,ANCHORAGE,99522
AK,Anchorage Municipality,ANCHORAGE,99523
AK,Anchorage Municipality,ANCHORAGE,99524
AK,Anchorage Municipality,ANCHORAGE,99529
AK,Anchorage Municipality,ANCHORAGE,99530
AK,Anchorage Municipality,ANCHORAGE,99599
AK,Anchorage Municipality,ANCHORAGE,99695
AK,Anchorage Municipality,BIRD CREEK,99540
AK,Anchorage Municipality,CHUGIAK,99567
AK,Anchorage Municipality,EAGLE RIVER,99577
AK,Anchorage Municipality,GIRDWOOD,99587
AK,Anchorage Municipality,JBER,99505
AK,Anchorage Municipality,JBER,99506
AK,Bethel Census Area,AKIACHAK,99551
AK,Bethel Census Area,AKIAK,99552
AK,Bethel Census Area,ANIAK,99557
