state,country,city,zip
AK,Anchorage Municipality,ANCHORAGE,99501
AK,Anchorage Municipality,ANCHORAGE,99502
AK,Anchorage Municipality,ANCHORAGE,99503
AK,Anchorage Municipality,ANCHORAGE,99504
AK,Anchorage Municipality,JBER,99505
AK,Anchorage Municipality,JBER,99506
AK,Anchorage Municipality,ANCHORAGE,99507
AK,Anchorage Municipality,ANCHORAGE,99508
AK,Anchorage Municipality,ANCHORAGE,99509
AK,Anchorage Municipality,ANCHORAGE,99510
AK,Anchorage Municipality,ANCHORAGE,99511
AK,Anchorage Municipality,ANCHORAGE,99513
AK,Anchorage Municipality,ANCHORAGE,99514
AK,Anchorage Municipality,ANCHORAGE,99515
AK,Anchorage Municipality,ANCHORAGE,99516
AK,Anchorage Municipality,ANCHORAGE,99517
AK,Anchorage Municipality,ANCHORAGE,99518
AK,Anchorage Municipality,ANCHORAGE,99519
AK,Anchorage Municipality,ANCHORAGE,99520
AK,Anchorage Municipality,ANCHORAGE,99521
AK,Anchorage Municipality,ANCHORAGE,99522
AK,Anchorage Municipality,ANCHORAGE,99523
AK,Anchorage Municipality,ANCHORAGE,99524
AK,Anchorage Municipality,ANCHORAGE,99529
AK,Anchorage Municipality,ANCHORAGE,99530
AK,Anchorage Municipality,BIRD CREEK,99540
AK,Bethel Census Area,KONGIGANAK,99545
AK,Aleutians West Census Area,ADAK,99546
AK,Aleutians West Census Area,ATKA,99547
AK,Lake and Peninsula Borough,CHIGNIK LAKE,99548
AK,Lake and Peninsula Borough,PORT HEIDEN,99549
AK,Kodiak Island Borough,PORT LIONS,99550
AK,Bethel Census Area,AKIACHAK,99551
AK,Bethel Census Area,AKIAK,99552
AK,Aleutians East Borough,AKUTAN,99553
AK,Kusilvak Census Area,ALAKANUK,99554
AK,Dillingham Census Area,ALEKNAGIK,99555
AK,Kenai Peninsula Borough,ANCHOR POINT,99556
AK,Bethel Census Area,ANIAK,99557
AK,Yukon-Koyukuk Census Area,ANVIK,99558
AK,Bethel Census Area,ATMAUTLUAK,99559
AK,Bethel Census Area,CHEFORNAK,99561
AK,Kusilvak Census Area,CHEVAK,99563
AK,Lake and Peninsula Borough,CHIGNIK,99564
AK,Lake and Peninsula Borough,CHIGNIK LAGOON,99565
AK,Valdez-Cordova Census Area,CHITINA,99566
AK,Anchorage Municipality,CHUGIAK,99567
AK,Kenai Peninsula Borough,CLAM GULCH,99568
AK,Dillingham Census Area,CLARKS POINT,99569
AK,Aleutians East Borough,COLD BAY,99571
AK,Kenai Peninsula Borough,COOPER LANDING,99572
AK,Copper River Census Area,COPPER CENTER,99573
AK,Chugach Census Area,CHENEGA BAY,99574
AK,Bethel Census Area,CROOKED CREEK,99575
AK,Dillingham Census Area,DILLINGHAM,99576
AK,Anchorage Municipality,EAGLE RIVER,99577
AK,Bethel Census Area,EEK,99578
AK,Lake and Peninsula Borough,EGEGIK,99579
AK,Dillingham Census Area,EKWOK,99580
AK,Kusilvak Census Area,EMMONAK,99581
AK,Aleutians East Borough,FALSE PASS,99583
AK,Kusilvak Census Area,MARSHALL,99585
AK,Copper River Census Area,GAKONA,99586
AK,Anchorage Municipality,GIRDWOOD,99587
AK,Copper River Census Area,GLENNALLEN,99588
AK,Bethel Census Area,GOODNEWS BAY,99589
AK,Yukon-Koyukuk Census Area,GRAYLING,99590
