province,provinceCode,city
An Giang,An Giang,An Phú
An Giang,An Giang,Châu Phú
An Giang,An Giang,Châu Đốc
An Giang,An Giang,Chợ Mới
An Giang,An Giang,Long Xuyen Township
An Giang,An Giang,Thoại Sơn
An Giang,An Giang,Tri Tôn
An Giang,An Giang,Tịnh Biên
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Ba Ria
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Châu Đức
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Côn Đảo
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Long Điền
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Tân Thành
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Vũng Tàu
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Xuyên Mộc
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Đất Đỏ
Bắc Giang,Bắc Giang,Bắc Giang
Bắc Giang,Bắc Giang,Hiệp Hòa
Bắc Giang,Bắc Giang,Lạng Giang
Bắc Giang,Bắc Giang,Lục Nam
Bắc Giang,Bắc Giang,Lục Ngạn
Bắc Giang,Bắc Giang,Sơn Động
Bắc Giang,Bắc Giang,Tân Yên
Bắc Giang,Bắc Giang,Việt Yên
Bắc Giang,Bắc Giang,Yên Dũng
Bắc Giang,Bắc Giang,Yên Thế
Bắc Kạn,Bắc Kạn,Ba Bể
Bắc Kạn,Bắc Kạn,Bac Kan
Bắc Kạn,Bắc Kạn,Bạch Thông
Bắc Kạn,Bắc Kạn,Chợ Đồn
Bắc Kạn,Bắc Kạn,Na Ri
Bắc Kạn,Bắc Kạn,Ngân Sơn
Bắc Kạn,Bắc Kạn,Pác Nặm
Bắc Ninh,Bắc Ninh,Bắc Ninh
Bắc Ninh,Bắc Ninh,Gia Bình
Bắc Ninh,Bắc Ninh,Lương Tài
Bắc Ninh,Bắc Ninh,Quế Võ
