province,province_code,city,city_code
An Giang,VN-44,An Phú,VN-44-0
An Giang,VN-44,Châu Phú,VN-44-1
An Giang,VN-44,Châu Đốc,VN-44-2
An Giang,VN-44,Chợ Mới,VN-44-3
An Giang,VN-44,Long Xuyen Township,VN-44-4
An Giang,VN-44,Thoại Sơn,VN-44-5
An Giang,VN-44,Tri Tôn,VN-44-6
An Giang,VN-44,Tịnh Biên,VN-44-7
Bà Rịa - Vũng Tàu,VN-43,Ba Ria,VN-43-0
Bà Rịa - Vũng Tàu,VN-43,Châu Đức,VN-43-1
Bà Rịa - Vũng Tàu,VN-43,Côn Đảo,VN-43-2
Bà Rịa - Vũng Tàu,VN-43,Long Điền,VN-43-3
Bà Rịa - Vũng Tàu,VN-43,Tân Thành,VN-43-4
Bà Rịa - Vũng Tàu,VN-43,Vũng Tàu,VN-43-5
Bà Rịa - Vũng Tàu,VN-43,Xuyên Mộc,VN-43-6
Bà Rịa - Vũng Tàu,VN-43,Đất Đỏ,VN-43-7
Bắc Giang,VN-54,Bắc Giang,VN-54-0
Bắc Giang,VN-54,Hiệp Hòa,VN-54-1
Bắc Giang,VN-54,Lạng Giang,VN-54-2
Bắc Giang,VN-54,Lục Nam,VN-54-3
Bắc Giang,VN-54,Lục Ngạn,VN-54-4
Bắc Giang,VN-54,Sơn Động,VN-54-5
Bắc Giang,VN-54,Tân Yên,VN-54-6
Bắc Giang,VN-54,Việt Yên,VN-54-7
Bắc Giang,VN-54,Yên Dũng,VN-54-8
Bắc Giang,VN-54,Yên Thế,VN-54-9
Bắc Kạn,VN-53,Ba Bể,VN-53-0
Bắc Kạn,VN-53,Bac Kan,VN-53-1
Bắc Kạn,VN-53,Bạch Thông,VN-53-2
Bắc Kạn,VN-53,Chợ Đồn,VN-53-3
Bắc Kạn,VN-53,Na Ri,VN-53-4
Bắc Kạn,VN-53,Ngân Sơn,VN-53-5
Bắc Kạn,VN-53,Pác Nặm,VN-53-6
Bắc Ninh,VN-56,Bắc Ninh,VN-56-0
Bắc Ninh,VN-56,Gia Bình,VN-56-1
Bắc Ninh,VN-56,Lương Tài,VN-56-2
Bắc Ninh,VN-56,Quế Võ,VN-56-3
Bắc Ninh,VN-56,Thuận Thành,VN-56-4
Bắc Ninh,VN-56,Tiên Du,VN-56-5
Bắc Ninh,VN-56,Từ Sơn,VN-56-6
Bắc Ninh,VN-56,Yên Phong,VN-56-7
Bạc Liêu,VN-55,Bạc Liêu,VN-55-0
Bạc Liêu,VN-55,Giá Rai,VN-55-1
Bạc Liêu,VN-55,Hòa Bình,VN-55-2
Bạc Liêu,VN-55,Hồng Dân,VN-55-3
Bạc Liêu,VN-55,Vĩnh Lợi,VN-55-4
Bạc Liêu,VN-55,Đông Hải,VN-55-5
Bến Tre,VN-50,Ba Tri,VN-50-0
Bến Tre,VN-50,Bến Tre,VN-50-1
Bến Tre,VN-50,Bình Đại,VN-50-2
Bến Tre,VN-50,Chợ Lách,VN-50-3
Bến Tre,VN-50,Giồng Trôm,VN-50-4
Bến Tre,VN-50,Mỏ Cày,VN-50-5
Bến Tre,VN-50,Thạnh Phú,VN-50-6
Bình Dương,VN-57,Bến Cát,VN-57-0
Bình Dương,VN-57,Dau Tieng,VN-57-1
Bình Dương,VN-57,Di An,VN-57-2
Bình Dương,VN-57,Phú Giáo,VN-57-3
Bình Dương,VN-57,Thuận An,VN-57-4
Bình Dương,VN-57,Thủ Dầu Một,VN-57-5
Bình Dương,VN-57,Tân Uyên,VN-57-6
Bình Phước,VN-58,Bu Dop,VN-58-0
Bình Phước,VN-58,Bình Long,VN-58-1
Bình Phước,VN-58,Bù Đăng,VN-58-2
Bình Phước,VN-58,Chơn Thành,VN-58-3
Bình Phước,VN-58,Dong Xoai,VN-58-4
Bình Phước,VN-58,Lộc Ninh,VN-58-5
Bình Phước,VN-58,Phước Long,VN-58-6
Bình Phước,VN-58,Đồng Phù,VN-58-7
Bình Thuận,VN-40,Bắc Bình,VN-40-0
Bình Thuận,VN-40,Hàm Thuận Bắc,VN-40-1
Bình Thuận,VN-40,Hàm Thuận Nam,VN-40-2
Bình Thuận,VN-40,Hàm Tân,VN-40-3
Bình Thuận,VN-40,La Gi,VN-40-4
Bình Thuận,VN-40,Phan Thiết,VN-40-5
Bình Thuận,VN-40,Phú Quý,VN-40-6
Bình Thuận,VN-40,Tanh Linh,VN-40-7
Bình Thuận,VN-40,Tuy Phong,VN-40-8
Bình Thuận,VN-40,Đức Linh,VN-40-9
Bình Định,VN-31,An Nhơn,VN-31-0
Bình Định,VN-31,Hoài Nhơn,VN-31-1
Bình Định,VN-31,Hoài Ân,VN-31-2
Bình Định,VN-31,Phù Cát,VN-31-3
Bình Định,VN-31,Phù Mỹ,VN-31-4
Bình Định,VN-31,Qui Nhơn,VN-31-5
Bình Định,VN-31,Tuy Phước,VN-31-6
Bình Định,VN-31,Tây Sơn,VN-31-7
Bình Định,VN-31,Van Canh,VN-31-8
Cao Bằng,VN-04,Bảo Lâm,VN-04-0
Cao Bằng,VN-04,Bảo Lạc,VN-04-1
Cao Bằng,VN-04,Cao Bằng,VN-04-2
Cao Bằng,VN-04,Hoà An,VN-04-3
Cao Bằng,VN-04,Hà Quảng,VN-04-4
Cao Bằng,VN-04,Hạ Lang,VN-04-5
Cao Bằng,VN-04,Nguyên Bình,VN-04-6
Cao Bằng,VN-04,Phục Hòa,VN-04-7
Cao Bằng,VN-04,Quảng Yên,VN-04-8
Cao Bằng,VN-04,Thạch An,VN-04-9
Cao Bằng,VN-04,Thông Nông,VN-04-10
Cao Bằng,VN-04,Trà Lĩnh,VN-04-11
Cao Bằng,VN-04,Trùng Khánh,VN-04-12
Cà Mau,VN-59,Cái Nước,VN-59-0
Cà Mau,VN-59,Cà Mau,VN-59-1
Cà Mau,VN-59,Ngọc Hiển,VN-59-2
Cà Mau,VN-59,Năm Căn,VN-59-3
Cà Mau,VN-59,Phú Tân,VN-59-4
Cà Mau,VN-59,Thới Bình,VN-59-5
Cà Mau,VN-59,Trần Văn Thời,VN-59-6
Cà Mau,VN-59,U Minh,VN-59-7
Cà Mau,VN-59,Đầm Dơi,VN-59-8
Cần Thơ,VN-CT,Bình Thủy,VN-CT-0
Cần Thơ,VN-CT,Cái Răng,VN-CT-1
Cần Thơ,VN-CT,Cờ Đỏ,VN-CT-2
Cần Thơ,VN-CT,Ninh Kiều,VN-CT-3
Cần Thơ,VN-CT,Phong Điền,VN-CT-4
Cần Thơ,VN-CT,Thốt Nốt,VN-CT-5
Cần Thơ,VN-CT,Vĩnh Thạnh,VN-CT-6
Cần Thơ,VN-CT,Ô Môn,VN-CT-7
Gia Lai,VN-30,An Khê,VN-30-0
Gia Lai,VN-30,Ayun Pa,VN-30-1
Gia Lai,VN-30,Chư Prông,VN-30-2
Gia Lai,VN-30,Chư Păh,VN-30-3
Gia Lai,VN-30,Chư Sê,VN-30-4
Gia Lai,VN-30,Ia Grai,VN-30-5
Gia Lai,VN-30,Ia Pa,VN-30-6
Gia Lai,VN-30,K'Bang,VN-30-7
Gia Lai,VN-30,Krông Pa,VN-30-8
Gia Lai,VN-30,Kông Chro,VN-30-9
Gia Lai,VN-30,Mang Yang,VN-30-10
Gia Lai,VN-30,Phú Thiện,VN-30-11
Gia Lai,VN-30,Pleiku,VN-30-12
Gia Lai,VN-30,Đắk Pơ,VN-30-13
Gia Lai,VN-30,Đắk Đoa,VN-30-14
Gia Lai,VN-30,Đức Cơ,VN-30-15
Hà Giang,VN-03,Bắc Mê,VN-03-0
